# 性能对比数据汇总 (论文格式)
# 维度: 2D | 总记录数: 30 | 生成时间: 13-Dec-2025 18:05:05

# 主要性能指标 (均值±标准差)
算法,成功率(%),收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
RRT_Basic,100.0,0.409±0.047,2162.58±27.45,0.409±0.047,1047±56,0.443±0.008
RRT_Star_Basic,90.0,0.648±0.118,2135.61±20.28,4.248±0.265,2889±135,0.429±0.013
SC_RRT_Basic,100.0,0.243±0.032,1911.89±4.23,0.243±0.032,354±31,0.032±0.056

# 详细运行数据
算法,运行序号,成功,收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
RRT_Basic,1,1,0.528,2160.62,0.529,1173,0.428
RRT_Star_Basic,2,1,0.630,2165.69,4.321,2930,0.457
SC_RRT_Basic,3,1,0.295,1910.16,0.295,396,0.016
RRT_Basic,4,1,0.377,2159.51,0.377,980,0.449
RRT_Star_Basic,5,1,0.889,2162.59,4.382,2893,0.428
SC_RRT_Basic,6,1,0.291,1909.54,0.291,413,0.000
RRT_Basic,7,1,0.368,2201.76,0.368,1008,0.443
RRT_Star_Basic,8,1,0.576,2119.49,4.428,2951,0.425
SC_RRT_Basic,9,1,0.218,1909.40,0.218,334,0.000
RRT_Basic,10,1,0.417,2133.26,0.417,1042,0.441
RRT_Star_Basic,11,1,0.680,2119.89,4.360,2934,0.409
SC_RRT_Basic,12,1,0.266,1913.08,0.266,369,0.044
RRT_Basic,13,1,0.388,2142.33,0.388,1009,0.452
RRT_Star_Basic,14,1,0.481,2114.69,4.375,2965,0.422
SC_RRT_Basic,15,1,0.216,1909.19,0.216,327,0.000
RRT_Basic,16,1,0.391,2137.30,0.391,1058,0.443
RRT_Star_Basic,17,1,0.632,2127.03,4.345,2975,0.430
SC_RRT_Basic,18,1,0.230,1909.19,0.230,339,0.000
RRT_Basic,19,1,0.422,2214.72,0.422,1073,0.439
RRT_Star_Basic,20,1,0.541,2137.98,4.287,2912,0.434
SC_RRT_Basic,21,1,0.249,1919.33,0.249,351,0.084
RRT_Basic,22,1,0.367,2150.58,0.367,992,0.455
RRT_Star_Basic,23,0,Inf,Inf,3.522,2519,NaN
SC_RRT_Basic,24,1,0.206,1909.19,0.206,322,0.000
RRT_Basic,25,1,0.404,2147.64,0.404,1061,0.446
RRT_Star_Basic,26,1,0.733,2154.30,4.299,2951,0.425
SC_RRT_Basic,27,1,0.215,1909.92,0.215,327,0.000
RRT_Basic,28,1,0.428,2178.09,0.428,1076,0.433
RRT_Star_Basic,29,1,0.671,2118.80,4.159,2859,0.429
SC_RRT_Basic,30,1,0.247,1919.90,0.247,357,0.172
