# 性能对比数据汇总 (论文格式)
# 维度: 2D | 总记录数: 10 | 生成时间: 16-Dec-2025 22:19:50

# 主要性能指标 (均值±标准差)
算法,成功率(%),收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
SC_RRT_Basic,100.0,0.559±0.897,1909.85±1.16,0.559±0.897,426±217,0.002±0.008

# 详细运行数据
算法,运行序号,成功,收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
SC_RRT_Basic,1,1,0.367,1909.19,0.367,329,0.000
SC_RRT_Basic,2,1,0.257,1909.19,0.257,335,0.000
SC_RRT_Basic,3,1,0.238,1909.48,0.238,342,0.000
SC_RRT_Basic,4,1,0.253,1909.64,0.253,346,0.000
SC_RRT_Basic,5,1,0.441,1912.92,0.441,487,0.024
SC_RRT_Basic,6,1,0.215,1910.14,0.215,326,0.000
SC_RRT_Basic,7,1,0.260,1909.19,0.260,388,0.000
SC_RRT_Basic,8,1,3.102,1910.39,3.102,1028,0.000
SC_RRT_Basic,9,1,0.228,1909.19,0.228,342,0.000
SC_RRT_Basic,10,1,0.224,1909.19,0.224,339,0.000
