# 性能对比数据汇总 (论文格式)
# 维度: 2D | 总记录数: 3000 | 生成时间: 14-Mar-2026 21:40:05

# 主要性能指标 (均值±标准差)
算法,成功率(%),收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
RRT_Basic,100.0,0.034±0.028,2320.66±122.18,0.034±0.028,269±171,0.470±0.037
RRT_Connect_Basic,100.0,0.009±0.004,2144.11±97.62,0.009±0.004,69±10,0.503±0.065
RRT_Star_Basic,100.0,0.115±0.102,1971.72±18.90,9.995±2.520,3850±104,0.288±0.083
Informed_RRT_Star_Basic,100.0,0.081±0.037,2315.86±104.12,0.306±0.081,3804±110,0.414±0.024
SC_RRT_Basic,100.0,0.020±0.013,2003.42±60.97,0.020±0.013,206±32,0.156±0.128
Dynamic_RRT_Basic,100.0,0.038±0.031,2281.84±125.50,0.038±0.031,293±157,0.462±0.035

# 详细运行数据
算法,运行序号,成功,收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
RRT_Basic,1,1,0.013,2195.91,0.013,127,0.439
RRT_Connect_Basic,2,1,0.007,2096.17,0.007,68,0.478
RRT_Star_Basic,3,1,0.043,1995.21,8.455,3880,0.197
Informed_RRT_Star_Basic,4,1,0.052,2200.40,0.246,3758,0.422
SC_RRT_Basic,5,1,0.026,2036.60,0.026,236,0.135
Dynamic_RRT_Basic,6,1,0.030,2310.32,0.031,283,0.504
RRT_Basic,7,1,0.028,2367.39,0.028,196,0.479
RRT_Connect_Basic,8,1,0.010,2150.41,0.010,65,0.558
RRT_Star_Basic,9,1,0.151,1948.84,8.162,3822,0.344
Informed_RRT_Star_Basic,10,1,0.056,2305.46,0.252,3696,0.439
SC_RRT_Basic,11,1,0.018,1975.12,0.018,209,0.286
Dynamic_RRT_Basic,12,1,0.043,2363.92,0.043,393,0.446
RRT_Basic,13,1,0.022,2315.59,0.022,171,0.478
RRT_Connect_Basic,14,1,0.007,2079.82,0.007,62,0.470
RRT_Star_Basic,15,1,0.074,1983.35,8.763,3921,0.388
Informed_RRT_Star_Basic,16,1,0.055,2182.45,0.305,3856,0.409
SC_RRT_Basic,17,1,0.016,1933.15,0.016,157,0.147
Dynamic_RRT_Basic,18,1,0.027,2285.37,0.028,246,0.466
RRT_Basic,19,1,0.021,2330.66,0.021,164,0.538
RRT_Connect_Basic,20,1,0.007,2047.63,0.007,57,0.427
RRT_Star_Basic,21,1,0.159,1970.21,7.737,3864,0.343
Informed_RRT_Star_Basic,22,1,0.091,2685.13,0.290,3698,0.392
SC_RRT_Basic,23,1,0.013,1943.60,0.013,175,0.014
Dynamic_RRT_Basic,24,1,0.044,2366.16,0.045,355,0.455
RRT_Basic,25,1,0.022,2255.66,0.022,180,0.469
RRT_Connect_Basic,26,1,0.009,2066.69,0.009,68,0.467
RRT_Star_Basic,27,1,0.058,1940.93,10.165,4061,0.321
Informed_RRT_Star_Basic,28,1,0.066,2185.16,0.291,3889,0.387
SC_RRT_Basic,29,1,0.024,1953.03,0.024,212,0.040
Dynamic_RRT_Basic,30,1,0.048,2176.47,0.048,375,0.454
RRT_Basic,31,1,0.017,2348.99,0.017,169,0.445
RRT_Connect_Basic,32,1,0.006,2123.51,0.006,61,0.499
RRT_Star_Basic,33,1,0.041,1986.67,10.151,3941,0.333
Informed_RRT_Star_Basic,34,1,0.082,2297.63,0.322,3685,0.445
SC_RRT_Basic,35,1,0.014,1983.59,0.014,172,0.218
Dynamic_RRT_Basic,36,1,0.031,2291.03,0.032,295,0.443
RRT_Basic,37,1,0.025,2282.21,0.025,209,0.499
RRT_Connect_Basic,38,1,0.007,2147.74,0.007,66,0.468
RRT_Star_Basic,39,1,0.095,1966.58,9.648,3796,0.390
Informed_RRT_Star_Basic,40,1,0.098,2539.33,0.253,3566,0.351
SC_RRT_Basic,41,1,0.012,2034.41,0.012,218,0.328
Dynamic_RRT_Basic,42,1,0.023,2138.29,0.023,180,0.478
RRT_Basic,43,1,0.039,2351.73,0.039,375,0.537
RRT_Connect_Basic,44,1,0.006,2048.87,0.006,63,0.408
RRT_Star_Basic,45,1,0.037,2001.40,9.559,3840,0.348
Informed_RRT_Star_Basic,46,1,0.098,2302.16,0.252,3740,0.415
SC_RRT_Basic,47,1,0.011,2037.45,0.011,200,0.081
Dynamic_RRT_Basic,48,1,0.027,2252.84,0.027,276,0.458
RRT_Basic,49,1,0.035,2240.63,0.035,315,0.390
RRT_Connect_Basic,50,1,0.011,2169.73,0.011,86,0.568
RRT_Star_Basic,51,1,0.093,1959.63,7.782,3830,0.361
Informed_RRT_Star_Basic,52,1,0.067,2294.48,0.303,3803,0.374
SC_RRT_Basic,53,1,0.015,2007.44,0.015,212,0.036
Dynamic_RRT_Basic,54,1,0.022,2176.47,0.023,215,0.430
RRT_Basic,55,1,0.027,2320.69,0.027,231,0.443
RRT_Connect_Basic,56,1,0.007,2083.34,0.007,61,0.460
RRT_Star_Basic,57,1,0.058,1972.58,8.490,3836,0.456
Informed_RRT_Star_Basic,58,1,0.080,2334.14,0.259,3830,0.370
SC_RRT_Basic,59,1,0.015,2110.84,0.015,256,0.039
Dynamic_RRT_Basic,60,1,0.023,2291.03,0.023,142,0.469
RRT_Basic,61,1,0.014,2214.22,0.014,148,0.431
RRT_Connect_Basic,62,1,0.006,2037.65,0.006,62,0.416
RRT_Star_Basic,63,1,0.098,1960.80,7.289,3835,0.210
Informed_RRT_Star_Basic,64,1,0.080,2443.02,0.267,3746,0.436
SC_RRT_Basic,65,1,0.014,1928.83,0.014,223,0.102
Dynamic_RRT_Basic,66,1,0.027,2329.21,0.027,277,0.489
RRT_Basic,67,1,0.044,2261.91,0.045,347,0.497
RRT_Connect_Basic,68,1,0.007,2127.80,0.007,63,0.440
RRT_Star_Basic,69,1,0.102,1949.58,9.136,3915,0.303
Informed_RRT_Star_Basic,70,1,0.043,2201.68,0.269,3987,0.381
SC_RRT_Basic,71,1,0.011,2025.72,0.011,187,0.274
Dynamic_RRT_Basic,72,1,0.020,2138.29,0.020,225,0.491
RRT_Basic,73,1,0.036,2268.37,0.036,351,0.402
RRT_Connect_Basic,74,1,0.008,2191.97,0.008,77,0.655
RRT_Star_Basic,75,1,0.093,1959.18,9.732,4036,0.318
Informed_RRT_Star_Basic,76,1,0.040,2259.14,0.278,4092,0.425
SC_RRT_Basic,77,1,0.010,1948.73,0.010,196,0.017
Dynamic_RRT_Basic,78,1,0.058,2241.86,0.058,399,0.372
RRT_Basic,79,1,0.035,2363.52,0.035,347,0.440
RRT_Connect_Basic,80,1,0.006,2050.44,0.006,58,0.465
