scenario,dimension,max_iterations_limit,pid_config,Kp,Ki,Kd,mode,trial_id,success,path_length,planning_time,iterations,tree_nodes,smoothness,clearance,convergence_time,first_solution_iter,avg_tracking_error,oscillation_count,oscillation_rate,failure_mode,final_ellipsoid_volume,effective_sampling_ratio,samples_in_ellipsoid,total_samples_attempted,esr_tree_A,esr_tree_B
二维高密度场景,2,650,Kp_0.10,0.1,0.04,0.1,custom_pid,1,False,inf,4.994374513626099,650,908,inf,0.0,inf,inf,753.7237058159839,133,0.20461538461538462,divergence,31031099.5962398,0.2653846153846154,345,1300,0.2723076923076923,0.25846153846153846
二维高密度场景,2,650,Kp_0.10,0.1,0.04,0.1,custom_pid,2,True,2628.602140073708,3.9489405155181885,568,838,43.50483203154617,29.11819892408117,2.3207743167877197,368.0,727.4107445437537,132,0.2323943661971831,none,31765005.139567353,0.263668430335097,299,1134,0.27336860670194,0.25396825396825395
二维高密度场景,2,650,Kp_0.10,0.1,0.04,0.1,custom_pid,3,True,2499.585895739791,2.4691834449768066,402,559,39.995076718794635,28.263862928785468,1.1536872386932373,202.0,646.6932358304194,83,0.2064676616915423,none,31301665.03075094,0.256857855361596,206,802,0.2518703241895262,0.26184538653366585
二维高密度场景,2,650,Kp_0.10,0.1,0.04,0.1,custom_pid,4,False,inf,4.353719711303711,650,855,inf,0.0,inf,inf,748.0442552822919,155,0.23846153846153847,divergence,31531286.23816388,0.2815384615384615,366,1300,0.26461538461538464,0.29846153846153844
二维高密度场景,2,650,Kp_0.10,0.1,0.04,0.1,custom_pid,5,True,2364.717503533331,1.6342918872833252,248,344,34.28719563459941,30.513520358805085,0.3161752223968506,48.0,558.0318389433406,53,0.21370967741935484,none,31211387.382832024,0.2550607287449393,126,494,0.2793522267206478,0.23076923076923078
二维高密度场景,2,650,Kp_0.10,0.1,0.04,0.1,custom_pid,6,True,2471.1135547330737,3.2363412380218506,488,650,45.291118547436724,27.413421949531575,1.6457064151763916,288.0,669.8419795442342,105,0.2151639344262295,none,32532850.876451246,0.26386036960985626,257,974,0.2402464065708419,0.2874743326488706
二维高密度场景,2,650,Kp_0.10,0.1,0.04,0.1,custom_pid,7,False,inf,5.218703031539917,650,943,inf,0.0,inf,inf,759.7762882029273,151,0.2323076923076923,divergence,31354995.67945347,0.25461538461538463,331,1300,0.26153846153846155,0.24769230769230768
二维高密度场景,2,650,Kp_0.10,0.1,0.04,0.1,custom_pid,8,True,2660.8542056885603,3.2114763259887695,467,657,40.298819802837144,32.52797628356119,1.6890687942504883,267.0,722.5624699008358,101,0.21627408993576017,none,30744149.475048874,0.26502145922746784,247,932,0.26824034334763946,0.26180257510729615
二维高密度场景,2,650,Kp_0.10,0.1,0.04,0.1,custom_pid,9,True,2312.3705706199676,1.781275987625122,263,416,40.78611209133082,30.465814604672733,0.41411304473876953,63.0,606.5171259999322,69,0.2623574144486692,none,31152847.35610227,0.24236641221374045,127,524,0.2099236641221374,0.2748091603053435
二维高密度场景,2,650,Kp_0.10,0.1,0.04,0.1,custom_pid,10,True,2543.448749754509,3.214992046356201,451,646,34.20915678338837,29.15821095716866,1.7179102897644043,251.0,672.6210435284772,99,0.21951219512195122,none,31864180.070811816,0.2677777777777778,241,900,0.26,0.27555555555555555
二维高密度场景,2,650,Kp_0.10,0.1,0.04,0.1,custom_pid,11,False,inf,4.59897780418396,650,914,inf,0.0,inf,inf,747.6884573547125,135,0.2076923076923077,divergence,30755717.192874637,0.26384615384615384,343,1300,0.2784615384615385,0.24923076923076923
二维高密度场景,2,650,Kp_0.10,0.1,0.04,0.1,custom_pid,12,False,inf,4.890557050704956,650,974,inf,0.0,inf,inf,777.4563792636837,152,0.23384615384615384,divergence,30134572.03915817,0.26076923076923075,339,1300,0.2523076923076923,0.2692307692307692
二维高密度场景,2,650,Kp_0.10,0.1,0.04,0.1,custom_pid,13,True,2458.7491540775522,1.9704632759094238,288,373,39.548539942709574,26.954410688109803,0.5690765380859375,88.0,589.4724390388336,42,0.14583333333333334,none,31377711.73302279,0.23344947735191637,134,574,0.25435540069686413,0.21254355400696864
二维高密度场景,2,650,Kp_0.10,0.1,0.04,0.1,custom_pid,14,True,2611.513785628049,1.6150639057159424,260,327,42.91882493503535,33.119470529360754,0.3792855739593506,60.0,593.8224435770913,43,0.16538461538461538,none,31287910.407167755,0.2857142857142857,148,518,0.2471042471042471,0.32432432432432434
二维高密度场景,2,650,Kp_0.10,0.1,0.04,0.1,custom_pid,15,True,2494.321451869595,5.065307378768921,650,989,38.45823483833002,32.78732418722877,3.3512110710144043,464.0,745.3823381607966,164,0.2523076923076923,none,30390624.183040187,0.2692307692307692,350,1300,0.2676923076923077,0.27076923076923076
二维高密度场景,2,650,Kp_0.10,0.1,0.04,0.1,custom_pid,16,True,2428.912006865898,4.203324556350708,637,826,45.14168395807756,26.566942729956487,2.5907320976257324,437.0,735.2706501120387,123,0.19309262166405022,none,31743033.661015064,0.26336477987421386,335,1272,0.2562893081761006,0.27044025157232704
