scenario,dimension,max_iterations_limit,pid_config,Kp,Ki,Kd,mode,trial_id,success,path_length,planning_time,iterations,tree_nodes,smoothness,clearance,convergence_time,first_solution_iter,avg_tracking_error,oscillation_count,oscillation_rate,failure_mode,final_ellipsoid_volume,effective_sampling_ratio,samples_in_ellipsoid,total_samples_attempted,esr_tree_A,esr_tree_B
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,1,True,2411.683373441873,1.0042498111724854,304,406,36.829398202653614,28.003565547924918,0.321610689163208,104.0,671.6648090972822,65,0.2138157894736842,none,71950914.09752491,1.0,606,606,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,2,False,inf,2.7512080669403076,750,1121,inf,0.0,inf,inf,749.6874135367442,173,0.23066666666666666,divergence,73027306.17920908,1.0,1500,1500,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,3,False,inf,2.820838212966919,750,1087,inf,0.0,inf,inf,712.0313979965133,166,0.22133333333333333,oscillation,71609449.95979308,1.0,1500,1500,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,4,True,2425.8239175521367,1.0981621742248535,329,476,43.52161140492384,26.54786238357384,0.4327540397644043,129.0,666.3511045049329,76,0.23100303951367782,none,70794236.13053803,1.0,656,656,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,5,False,inf,2.5782411098480225,750,1035,inf,0.0,inf,inf,725.2607548623305,154,0.20533333333333334,divergence,71487349.64299794,1.0,1500,1500,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,6,True,2701.3023367827113,2.6608808040618896,746,1106,38.00290061510947,32.580779844121714,1.8907699584960938,546.0,738.3115846084263,152,0.2037533512064343,none,73287821.50578965,1.0,1490,1490,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,7,False,inf,2.568199872970581,750,1048,inf,0.0,inf,inf,700.7572095764817,145,0.19333333333333333,oscillation,72008384.82696173,1.0,1500,1500,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,8,True,2374.746133919988,1.4578306674957275,437,609,36.770326828324315,27.865344266295374,0.7835648059844971,237.0,670.1003549838275,87,0.19908466819221968,none,71573034.54640803,1.0,872,872,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,9,False,inf,2.596567392349243,750,1127,inf,0.0,inf,inf,761.2875306892643,176,0.23466666666666666,oscillation,71262933.29118602,1.0,1500,1500,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,10,True,2870.9268676794036,2.063345193862915,499,664,38.02031007957282,32.53470356530228,1.1592319011688232,299.0,682.5247449568454,96,0.19238476953907815,none,70537443.62896824,1.0,996,996,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,11,True,2433.194773411175,1.6642253398895264,403,585,36.58490559221951,29.073298263624537,0.8639841079711914,203.0,655.9013605188927,83,0.20595533498759305,none,71785009.30697133,1.0,804,804,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,12,True,2460.335066659767,2.2536189556121826,642,964,39.536892475745475,31.186163395747844,1.5125677585601807,442.0,704.2253667251823,140,0.21806853582554517,none,71587807.8611629,1.0,1282,1282,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,13,True,2289.2778137351684,0.8988659381866455,274,378,35.47557268353179,31.54090465659714,0.25010251998901367,74.0,614.911160743585,47,0.17153284671532848,none,71534636.70461982,1.0,546,546,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,14,False,inf,2.682737112045288,750,1097,inf,0.0,inf,inf,792.8534679882373,183,0.244,divergence,74166107.33159599,1.0,1500,1500,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,15,True,2586.4741233208174,1.8523249626159668,551,799,38.968339979240234,29.592729215596226,1.1258165836334229,351.0,722.860839699556,117,0.21234119782214156,none,72441853.90690595,1.0,1100,1100,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,16,True,2700.7582620151657,1.7626874446868896,503,759,35.53508864456721,31.57474195487215,1.0549380779266357,303.0,732.3327910793765,115,0.2286282306163022,none,71675499.54946698,1.0,1004,1004,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,17,True,2488.7620939032918,0.9787569046020508,293,412,41.565478145613056,27.584815677053953,0.32521963119506836,93.0,661.4541471506242,63,0.2150170648464164,none,71437261.35619994,1.0,584,584,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,18,False,inf,2.5890657901763916,750,1081,inf,0.0,inf,inf,726.0747199183431,153,0.204,oscillation,72095727.42403367,1.0,1500,1500,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,19,False,inf,2.714940309524536,750,1115,inf,0.0,inf,inf,730.9814640550808,174,0.232,divergence,73180027.91783144,1.0,1500,1500,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,20,True,2703.2335122535023,1.618950605392456,476,690,37.11835005117097,29.625189978784537,0.9287185668945312,276.0,728.0402119197167,102,0.21428571428571427,none,70558439.72182183,1.0,950,950,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,21,False,inf,2.6444878578186035,750,1070,inf,0.0,inf,inf,713.6947825087487,167,0.22266666666666668,divergence,71954224.02476679,1.0,1500,1500,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,22,True,2335.8782186946887,0.9842138290405273,282,431,33.79891400555747,28.126581839734726,0.287553071975708,82.0,647.5993476805602,54,0.19148936170212766,none,71525375.87365703,1.0,562,562,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,23,True,2577.691189973273,1.4160971641540527,420,590,35.03822781531089,29.433023075568684,0.7493414878845215,220.0,707.5332824744629,79,0.1880952380952381,none,72715486.42885494,1.0,838,838,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,24,True,3332.727976245317,2.6767704486846924,750,1094,42.90317719966876,28.381043920685606,2.3383095264434814,664.0,766.2064377111991,177,0.236,none,73413235.90747356,1.0,1500,1500,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,25,True,2623.939581447484,1.476698637008667,419,613,42.989356767699405,34.57301564671702,0.7829842567443848,219.0,692.8397842815698,104,0.24821002386634844,none,72027967.73547302,1.0,836,836,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,26,False,inf,2.796720027923584,750,1175,inf,0.0,inf,inf,714.0426046337465,159,0.212,oscillation,73733206.60635002,1.0,1500,1500,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,27,True,2695.8057423053233,1.9306883811950684,580,795,38.00192189814186,30.504641488017782,1.2150819301605225,380.0,692.501923481728,115,0.19827586206896552,none,71939409.78960025,1.0,1158,1158,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,28,True,2197.750272817561,1.9092402458190918,587,808,33.96593744801067,29.773312082491987,1.2068202495574951,387.0,745.9842054514622,135,0.22998296422487224,none,71725424.25696863,1.0,1172,1172,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,29,True,2999.0332764330938,2.7365925312042236,750,1124,34.486578932731405,30.642150547350397,2.1415672302246094,601.0,704.2305904710987,174,0.232,none,70740742.18147989,1.0,1500,1500,1.0,1.0
二维高密度场景,2,750,P0_Fixed,0.0,0.0,0.0,fixed_ellipsoid,30,False,inf,2.780294418334961,750,1143,inf,0.0,inf,inf,666.1203015030129,185,0.24666666666666667,divergence,71593863.68269043,1.0,1500,1500,1.0,1.0
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,1,True,2483.8805463013186,2.005239725112915,571,792,40.13627729439243,33.28231868384094,1.259688138961792,371.0,541.5349835451207,128,0.22416812609457093,none,46017994.727891125,0.9815789473684211,1119,1140,0.9789473684210527,0.9842105263157894
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,2,True,2517.608238462307,1.6274805068969727,474,645,43.63210682582216,26.791368927010463,0.8939402103424072,274.0,520.3963843912628,106,0.22362869198312235,none,46345252.45237441,0.9841437632135307,931,946,0.9873150105708245,0.9809725158562368
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,3,True,2994.454670025374,1.9094750881195068,544,752,41.113051052629885,30.462337459198928,1.157477855682373,344.0,496.6877582079542,111,0.20404411764705882,none,45619121.4834149,0.9825046040515654,1067,1086,0.9852670349907919,0.9797421731123389
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,4,True,2480.6485263800096,1.491037368774414,437,590,41.23106175623172,29.9000394454443,0.7810192108154297,237.0,509.2214463920954,85,0.1945080091533181,none,46059282.29297101,0.9770642201834863,852,872,0.981651376146789,0.9724770642201835
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,5,True,2794.712919516822,1.3839707374572754,418,546,35.212420119793556,34.16249792467122,0.7023744583129883,218.0,467.9711965526916,76,0.18181818181818182,none,45740028.81407404,0.9772182254196643,815,834,0.9832134292565947,0.9712230215827338
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,6,True,2661.1458083412094,1.3275165557861328,400,518,43.996943990159366,28.468301972394357,0.6624376773834229,200.0,495.1782669692731,87,0.2175,none,46175064.80786686,0.9887218045112782,789,798,0.9874686716791979,0.9899749373433584
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,7,True,2217.6150606602296,0.8608303070068359,248,344,30.813454420570988,33.75062952659103,0.18342304229736328,48.0,480.18891728237344,46,0.18548387096774194,none,45702395.48644638,0.9736842105263158,481,494,0.9838056680161943,0.9635627530364372
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,8,True,2764.9069046351965,1.336535930633545,396,521,41.193086025257124,24.536322227493127,0.661104679107666,196.0,504.2994982151549,70,0.17676767676767677,none,45732583.3470592,0.9746835443037974,770,790,0.9772151898734177,0.9721518987341772
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,9,True,2589.993862203723,2.6077027320861816,705,1035,41.895314944982296,24.846204023558023,1.784209966659546,505.0,524.694312155299,175,0.24822695035460993,none,45810248.93313557,0.9886363636363636,1392,1408,0.9886363636363636,0.9886363636363636
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,10,True,2810.754271735946,2.5768232345581055,750,998,42.459839957948645,34.320036027342056,2.396136522293091,702.0,551.5093462488459,140,0.18666666666666668,none,45093884.25088315,0.994,1491,1500,0.9946666666666667,0.9933333333333333
