scenario,dimension,max_iterations_limit,pid_config,Kp,Ki,Kd,mode,trial_id,success,path_length,planning_time,iterations,tree_nodes,smoothness,clearance,convergence_time,first_solution_iter,avg_tracking_error,oscillation_count,oscillation_rate,failure_mode,final_ellipsoid_volume,effective_sampling_ratio,samples_in_ellipsoid,total_samples_attempted,esr_tree_A,esr_tree_B
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,1,True,2381.71169849489,0.9716503620147705,278,354,40.331705533637255,28.11560162309858,0.2676851749420166,78.0,449.4376534642814,44,0.15827338129496402,none,45785406.891120344,0.9566787003610109,530,554,0.9494584837545126,0.9638989169675091
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,2,True,2356.7307812350346,0.8881332874298096,244,342,41.04981901605362,32.763671195664024,0.17252707481384277,44.0,452.72798434022826,55,0.22540983606557377,none,45793506.320363134,0.9567901234567902,465,486,0.9670781893004116,0.9465020576131687
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,3,False,inf,2.895148515701294,750,1073,inf,0.0,inf,inf,522.4513458007173,151,0.20133333333333334,divergence,45777617.773679115,0.99,1485,1500,0.988,0.992
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,4,False,inf,2.7672910690307617,750,1077,inf,0.0,inf,inf,560.9532353205542,190,0.25333333333333335,divergence,45409283.958751224,0.988,1482,1500,0.984,0.992
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,5,True,2601.3088655612446,2.715348720550537,730,1003,39.54570324781072,30.05068857243052,1.8812589645385742,530.0,528.1970859904478,164,0.22465753424657534,none,45977893.65905852,0.9910836762688614,1445,1458,0.99039780521262,0.9917695473251029
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,6,True,2564.7400870451843,0.9720947742462158,278,387,36.283938221523535,29.083625701715615,0.2689049243927002,78.0,502.2678529687512,53,0.1906474820143885,none,45801675.26080276,0.9620938628158845,533,554,0.9783393501805054,0.9458483754512635
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,7,True,2683.9534100049964,2.0837934017181396,582,812,34.444509117588375,27.408639142158997,1.3509480953216553,382.0,542.766130456322,121,0.20790378006872853,none,47498122.65515663,0.9793459552495697,1138,1162,0.9827882960413081,0.9759036144578314
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,8,True,2655.031489386313,1.6791248321533203,482,622,40.96652836206855,31.23491878271376,0.9332408905029297,282.0,514.9895832135044,95,0.1970954356846473,none,45361181.31451078,0.9844074844074844,947,962,0.9833679833679834,0.9854469854469855
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,9,True,2368.4983818720366,0.8195030689239502,255,302,37.420934614948,26.366556068876935,0.1837177276611328,55.0,449.7310957112913,46,0.1803921568627451,none,45806790.74109804,0.9625984251968503,489,508,0.968503937007874,0.9566929133858267
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,10,True,2540.7854293269875,0.9629931449890137,287,352,32.75841722182445,29.8478819623874,0.2656693458557129,87.0,462.68030121687013,54,0.18815331010452963,none,45852904.89148583,0.972027972027972,556,572,0.9615384615384616,0.9825174825174825
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,11,True,2712.9583907203223,1.87459135055542,570,715,48.11186102783144,25.673447958530524,1.169527530670166,370.0,519.3696208441138,91,0.15964912280701754,none,46110945.142648034,0.9815465729349736,1117,1138,0.9824253075571178,0.9806678383128296
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,12,True,2863.2971381203324,2.757688045501709,750,1101,36.86601986640638,33.84339983155692,2.6655709743499756,730.0,555.2678240501807,158,0.21066666666666667,none,45514359.386939034,0.9906666666666667,1486,1500,0.9906666666666667,0.9906666666666667
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,13,True,2591.7293095723376,1.1077325344085693,338,438,40.506358207074676,28.52978689917628,0.4432861804962158,138.0,505.39075064821566,69,0.20414201183431951,none,45904342.99070587,0.9703264094955489,654,674,0.973293768545994,0.9673590504451038
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,14,True,2818.9614034044307,2.186042308807373,608,859,40.19281243491019,30.589382900717005,1.4143939018249512,408.0,525.2566130516524,127,0.20888157894736842,none,45990857.98921819,0.9884678747940692,1200,1214,0.9917627677100495,0.985172981878089
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,15,True,2786.9392263706504,0.9062952995300293,276,342,43.54177911059697,27.639743714267404,0.25962162017822266,76.0,456.5399658059496,34,0.12318840579710146,none,46121686.393772125,0.9727272727272728,535,550,0.9745454545454545,0.9709090909090909
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,16,True,2368.7781599194705,2.723400592803955,750,1082,39.983905191021336,27.104335201919515,2.2329869270324707,634.0,560.6222982742726,183,0.244,none,45995257.648612246,0.99,1485,1500,0.9853333333333333,0.9946666666666667
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,17,True,2519.150136816606,0.9912590980529785,287,397,38.74127624349866,33.78037649797916,0.31517529487609863,87.0,477.4960126442721,54,0.18815331010452963,none,45162217.39098652,0.9597902097902098,549,572,0.958041958041958,0.9615384615384616
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,18,True,2377.8125738294225,2.2087721824645996,660,838,38.894699188892616,28.26581338001114,1.496551513671875,460.0,534.5764040330746,144,0.21818181818181817,none,44762300.33556287,0.9916540212443096,1307,1318,0.9954476479514416,0.9878603945371776
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,19,False,inf,2.7473816871643066,750,1076,inf,0.0,inf,inf,523.7123406224158,165,0.22,divergence,46065682.51356004,0.9913333333333333,1487,1500,0.988,0.9946666666666667
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,20,True,2469.3243848206066,1.9108946323394775,558,770,40.76521073592991,33.3327295003387,1.1776351928710938,358.0,509.1304687434043,111,0.1989247311827957,none,46615303.2892609,0.9865350089766607,1099,1114,0.9856373429084381,0.9874326750448833
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,21,True,2453.531262067174,2.4215147495269775,677,967,38.53827356349608,30.382482886721192,1.6335008144378662,477.0,554.3182926509285,152,0.22451994091580502,none,46323759.30024154,0.9837278106508875,1330,1352,0.9807692307692307,0.9866863905325444
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,22,True,2478.9586815777598,1.0287680625915527,318,391,39.068947120146504,27.975093350558204,0.3668088912963867,118.0,484.2697563156364,54,0.16981132075471697,none,45823027.97354119,0.9700315457413249,615,634,0.9810725552050473,0.9589905362776026
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,23,True,3262.7806530743555,2.662630081176758,750,1020,40.62598629743308,34.14089978498424,2.1798810958862305,629.0,580.1835090638094,166,0.22133333333333333,none,47126102.44432386,0.988,1482,1500,0.984,0.992
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,24,True,2367.4852745944895,1.6906304359436035,466,681,47.36867925574713,33.50698506269566,0.954185962677002,266.0,502.401135523047,105,0.22532188841201717,none,44731574.947994955,0.9838709677419355,915,930,0.9827956989247312,0.9849462365591398
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,25,True,2548.404180336169,2.0181467533111572,565,829,36.51254679760257,33.21049461411295,1.2475135326385498,365.0,531.0093519313868,127,0.2247787610619469,none,45765938.18219185,0.9884751773049646,1115,1128,0.9911347517730497,0.9858156028368794
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,26,True,2494.8668563890965,2.218047618865967,637,876,45.129571039325796,30.655904297719793,1.4716980457305908,437.0,509.1582771146907,115,0.18053375196232338,none,45985800.56335334,0.9787735849056604,1245,1272,0.9874213836477987,0.970125786163522
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,27,True,2894.392052261999,1.7076523303985596,490,667,37.184852929640435,29.21204772949586,0.9768126010894775,290.0,508.21892936903464,115,0.23469387755102042,none,45566105.93058575,0.9795501022494888,958,978,0.9775051124744376,0.9815950920245399
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,28,False,inf,2.7248709201812744,750,1015,inf,0.0,inf,inf,516.0277967718794,160,0.21333333333333335,divergence,45700446.015985884,0.9866666666666667,1480,1500,0.984,0.9893333333333333
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,29,True,2365.9181401512005,2.7206673622131348,750,1063,35.73988209755266,34.33446119462502,2.6046547889709473,720.0,508.4535919689987,159,0.212,none,45941048.376359195,0.99,1485,1500,0.9933333333333333,0.9866666666666667
二维高密度场景,2,750,P1_VeryLow,0.05,0.01,0.02,custom_pid,30,True,2684.447550949426,1.3404850959777832,371,533,41.57251157421596,32.881512695685785,0.6181375980377197,171.0,508.2588772117526,85,0.22911051212938005,none,45494094.1444639,0.981081081081081,726,740,0.9756756756756757,0.9864864864864865
