pid_config,Kp,Ki,Kd,success_rate,success_count,total_count,success_rate_pct,path_length_mean,path_length_std,path_length_min,path_length_max,tree_nodes_mean,tree_nodes_std,path_efficiency_mean,path_efficiency_std,planning_time_mean,planning_time_std,smoothness_mean,smoothness_std,convergence_time_mean,convergence_time_std
P0_Fixed,0.0,0.0,0.0,0.3667,22,60,36.67,2663.2203,314.0082,2197.7503,3332.728,676.0909,231.2937,4.3202,1.2949,1.661,0.5582,39.1128,4.4244,0.9308,0.6122
P1_VeryLow,0.05,0.01,0.02,0.5667,34,60,56.67,2716.2006,282.3533,2217.6151,3312.7757,688.1765,240.6766,4.4236,1.5427,1.7657,0.6419,41.6385,4.4027,1.028,0.7019
P2_Low,0.2,0.03,0.08,0.5167,31,60,51.67,2698.1715,358.2509,2280.104,3787.2537,678.9355,258.1737,4.4831,1.5072,1.742,0.6951,40.2084,5.0635,1.0244,0.7247
P3_High_0.40,0.4,0.07,0.16,0.5667,34,60,56.67,2746.1853,393.1507,2249.0764,3497.6732,650.5882,223.0827,4.7255,1.6284,1.6555,0.5706,41.5812,4.6877,0.8952,0.6234
P4_High_0.50,0.5,0.1,0.2,0.45,27,60,45.0,2659.4917,355.8866,2159.0361,3481.8288,649.2963,245.0411,4.6079,1.4992,1.6632,0.6389,41.2052,5.5922,0.9362,0.7292
P5_High_0.60,0.6,0.12,0.24,0.4167,25,60,41.67,2564.1719,223.7166,2203.9683,3115.1001,555.44,228.794,5.2318,1.6613,1.409,0.5784,39.5406,4.7899,0.7205,0.6338
P6_High_0.70,0.7,0.15,0.28,0.4833,29,60,48.33,2630.9616,383.1407,2247.0813,3511.8778,687.8276,255.1416,4.3314,1.566,1.7427,0.6718,39.5818,5.914,1.0158,0.698
P7_High_0.80,0.8,0.18,0.32,0.4833,29,60,48.33,2592.3732,275.9252,2306.55,3443.7903,632.3103,248.5898,4.7614,1.862,1.6023,0.6229,38.3663,3.2222,0.9083,0.6692
P8_High_0.90,0.9,0.2,0.36,0.55,33,60,55.00000000000001,2686.3301,391.0642,2300.1964,3887.2928,697.1515,283.8225,4.448,1.6416,1.8097,0.7728,40.6841,4.8328,1.1053,0.8093
P9_High_1.00,1.0,0.22,0.4,0.4833,29,60,48.33,2628.515,260.5182,2163.0452,3235.8295,631.4138,263.0978,4.8258,1.7266,1.5994,0.6638,40.18,4.3465,0.9088,0.7487
