scenario,dimension,algorithm,short_name,trial_id,success,iterations,path_length,planning_time,tree_nodes,first_solution_iter,convergence_time,effective_sampling_ratio,smoothness,clearance
2D_HighDensity,2D,Informed-RRT*,IRRT,1,False,600,inf,2.5119104385375977,1034,inf,inf,0.2941666666666667,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,2,False,600,inf,2.4889678955078125,1073,inf,inf,0.2891666666666667,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,3,False,600,inf,3.006171703338623,1086,inf,inf,0.3025,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,4,False,600,inf,2.597395658493042,1076,inf,inf,0.3258333333333333,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,5,False,600,inf,2.7447633743286133,1056,inf,inf,0.285,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,6,False,600,inf,2.7185516357421875,1078,inf,inf,0.295,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,7,False,600,inf,2.6229088306427,1052,inf,inf,0.30083333333333334,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,8,False,600,inf,2.5905590057373047,1071,inf,inf,0.2808333333333333,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,9,False,600,inf,2.5783803462982178,1093,inf,inf,0.3075,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,10,False,600,inf,2.630276679992676,991,inf,inf,0.3325,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,11,True,600,2384.433065709132,2.7615091800689697,1081,452.0,1.9454779624938965,0.31833333333333336,34.08883880730524,30.506829885056092
2D_HighDensity,2D,Informed-RRT*,IRRT,12,False,600,inf,2.5536839962005615,1085,inf,inf,0.30583333333333335,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,13,False,600,inf,2.484949827194214,1042,inf,inf,0.2941666666666667,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,14,False,600,inf,2.5571932792663574,1034,inf,inf,0.2966666666666667,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,15,False,600,inf,2.5911269187927246,1084,inf,inf,0.305,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,16,False,600,inf,2.4695188999176025,1036,inf,inf,0.31083333333333335,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,17,False,600,inf,2.5454180240631104,1016,inf,inf,0.3275,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,18,False,600,inf,2.5857229232788086,1058,inf,inf,0.3075,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,19,False,600,inf,2.232621192932129,897,inf,inf,0.2941666666666667,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,20,False,600,inf,2.6513407230377197,1051,inf,inf,0.31416666666666665,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,21,False,600,inf,2.570621967315674,1058,inf,inf,0.31833333333333336,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,22,False,600,inf,2.670520305633545,1079,inf,inf,0.30083333333333334,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,23,False,600,inf,2.7340338230133057,1043,inf,inf,0.31666666666666665,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,24,False,600,inf,2.402094841003418,983,inf,inf,0.3075,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,25,False,600,inf,2.652961492538452,1088,inf,inf,0.2733333333333333,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,26,False,600,inf,2.4261314868927,996,inf,inf,0.325,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,27,False,600,inf,2.548537015914917,1072,inf,inf,0.31833333333333336,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,28,False,600,inf,2.565725088119507,1003,inf,inf,0.30416666666666664,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,29,False,600,inf,2.4165735244750977,1027,inf,inf,0.29083333333333333,inf,0.0
2D_HighDensity,2D,Informed-RRT*,IRRT,30,False,600,inf,2.585130214691162,1025,inf,inf,0.3,inf,0.0
2D_HighDensity,2D,SC-RRT_Static,SC-Static,1,False,600,inf,2.552841901779175,1050,inf,inf,0.2966666666666667,inf,0.0
2D_HighDensity,2D,SC-RRT_Static,SC-Static,2,False,600,inf,2.482811450958252,993,inf,inf,0.3125,inf,0.0
