# 性能对比数据汇总 (论文格式)
# 维度: 2D | 总记录数: 3000 | 生成时间: 15-Mar-2026 18:34:44

# 主要性能指标 (均值±标准差)
算法,成功率(%),收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
RRT_Basic,100.0,0.046±0.033,2323.07±127.16,0.046±0.033,271±173,0.469±0.037
RRT_Connect_Basic,100.0,0.012±0.006,2145.80±97.67,0.012±0.006,70±10,0.497±0.064
RRT_Star_Basic,100.0,0.166±0.276,1969.06±18.73,13.387±1.675,3857±98,0.293±0.079
Informed_RRT_Star_Basic,100.0,0.215±0.124,2034.17±95.19,2.083±0.418,3855±97,0.191±0.052
SC_RRT_Basic,100.0,0.038±0.014,2004.27±61.58,0.038±0.014,209±34,0.162±0.133
Dynamic_RRT_Basic,100.0,0.056±0.058,2286.43±130.45,0.056±0.058,301±198,0.463±0.040

# 详细运行数据
算法,运行序号,成功,收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
RRT_Basic,1,1,0.054,2410.73,0.054,409,0.505
RRT_Connect_Basic,2,1,0.019,2145.77,0.019,63,0.484
RRT_Star_Basic,3,1,0.055,1993.73,14.885,3916,0.312
Informed_RRT_Star_Basic,4,1,0.198,1950.08,2.553,3874,0.163
SC_RRT_Basic,5,1,0.088,2131.72,0.088,263,0.455
Dynamic_RRT_Basic,6,1,0.033,2214.66,0.034,151,0.474
RRT_Basic,7,1,0.030,2411.22,0.030,195,0.512
RRT_Connect_Basic,8,1,0.015,2350.66,0.015,82,0.503
RRT_Star_Basic,9,1,0.198,1973.53,12.970,3779,0.352
Informed_RRT_Star_Basic,10,1,0.305,2039.12,1.954,3862,0.317
SC_RRT_Basic,11,1,0.106,1983.35,0.106,213,0.043
Dynamic_RRT_Basic,12,1,0.039,2157.34,0.039,304,0.456
RRT_Basic,13,1,0.032,2246.38,0.032,271,0.448
RRT_Connect_Basic,14,1,0.009,2126.46,0.009,71,0.510
RRT_Star_Basic,15,1,0.106,1994.48,14.681,3921,0.219
