activation_attempt,added_nodes,algorithm,budget_limit,collision_checks,collision_rejections,dimension,environment_id,expansion_attempts,family,feedback_updates,first_solution_attempt,first_solution_cost_mm,first_solution_efficiency,first_solution_nodes,first_solution_time_s,fixed_budget_cost_mm,fixed_budget_efficiency,fixed_budget_time_s,gamma_a_final,gamma_b_final,map_index,p_a_final,p_b_final,path_valid,pid_improvement_ema_final,rewire_attempts,rewire_successes,seed,seed_index,success,total_nodes
2561,3215,SC-RRT,5000,15367,1302,2,evaluation-2d-00,5000,uniform_clutter,99,497.0,2627.616127963768,0.7265857021067895,184.0,0.03409988200291991,2035.1718536324838,0.9380968520157433,1.2148492319975048,1.289592960566407,1.289592960566407,0,0.9466974734271422,0.9466974734271422,1,0.12697741526405762,8788,3106,20000000,0,1,3217
2561,3402,SC-RRT-fixed-matched,5000,15779,1234,2,evaluation-2d-00,5000,uniform_clutter,99,497.0,2627.616127963768,0.7265857021067895,184.0,0.03249576600501314,1987.7915438540779,0.960457003203667,1.2704179040156305,1.5,1.5,0,0.8,0.8,1,0.0,8822,3096,20000000,0,1,3404
2559,3423,SC-RRT-fixed-matched,5000,16161,1102,2,evaluation-2d-00,5000,uniform_clutter,99,324.0,2090.033038607674,0.9134727891552998,144.0,0.021150721993763,1983.4692760358016,0.9625499786008369,1.2417847409960814,1.5,1.5,0,0.8,0.8,1,0.0,9342,3492,20000001,1,1,3425
2559,3313,SC-RRT,5000,15606,1104,2,evaluation-2d-00,5000,uniform_clutter,99,324.0,2090.033038607674,0.9134727891552998,144.0,0.02272691100370139,1978.648051522551,0.9648953525284983,1.1851319980050903,1.2900223391382892,1.2900223391382892,0,0.9463931691181464,0.9463931691181464,1,0.029155298989306893,9103,3425,20000001,1,1,3315
2558,3309,SC-RRT,5000,16585,1182,2,evaluation-2d-00,5000,uniform_clutter,99,119.0,2068.28327938495,0.9230787330889305,93.0,0.01012221901328303,1950.7908440641386,0.9786740157269815,1.3231472360203043,1.2855643856278547,1.2855643856278547,0,0.9495516685216646,0.9495516685216646,1,0.03252544408772917,9848,3437,20000002,2,1,3311
2558,3363,SC-RRT-fixed-matched,5000,15571,1122,2,evaluation-2d-00,5000,uniform_clutter,99,119.0,2068.28327938495,0.9230787330889305,93.0,0.01008485400234349,1957.944889634455,0.9750980833582709,1.2096712620113976,1.5,1.5,0,0.8,0.8,1,0.0,8867,3236,20000002,2,1,3365
2558,3421,SC-RRT-fixed-matched,5000,15603,1103,2,evaluation-2d-00,5000,uniform_clutter,99,287.0,2162.184475477498,0.8829904806258736,126.0,0.01908976599224843,1990.830442357944,0.9589909158423513,1.1976239609939512,1.5,1.5,0,0.8,0.8,1,0.0,8731,3127,20000003,3,1,3423
2558,3293,SC-RRT,5000,15345,1108,2,evaluation-2d-00,5000,uniform_clutter,99,287.0,2162.184475477498,0.8829904806258736,126.0,0.01927370298653841,2004.5925672766036,0.9524071576287746,1.2422744339855853,1.291705260641283,1.291705260641283,0,0.9452003033215763,0.9452003033215763,1,0.03460439321433941,8832,2927,20000003,3,1,3295
2558,3318,SC-RRT,5000,16417,1179,2,evaluation-2d-00,5000,uniform_clutter,99,416.0,2143.4104097263235,0.8907245670452112,164.0,0.027308560005621985,1946.9168236944815,0.9806214040416943,1.2054817529860884,1.2863880924262423,1.2863880924262423,0,0.9489682185617883,0.9489682185617883,1,0.04330207111860224,9757,2762,20000004,4,1,3320
2558,3364,SC-RRT-fixed-matched,5000,15297,1227,2,evaluation-2d-00,5000,uniform_clutter,99,416.0,2143.4104097263235,0.8907245670452112,164.0,0.027263341995421797,1979.1593771804332,0.9646460670204147,1.2119399929943029,1.5,1.5,0,0.8,0.8,1,0.0,8448,2860,20000004,4,1,3366
2563,3365,SC-RRT-fixed-matched,5000,15489,1224,2,evaluation-2d-00,5000,uniform_clutter,99,254.0,2084.1828846894764,0.916036842653628,140.0,0.018438250001054257,1985.1048208588693,0.9617569254492339,1.1944156709942035,1.5,1.5,0,0.8,0.8,1,0.0,8620,2867,20000005,5,1,3367
2563,3376,SC-RRT,5000,16499,1231,2,evaluation-2d-00,5000,uniform_clutter,99,254.0,2084.1828846894764,0.916036842653628,140.0,0.018192824005382136,1971.4675951866004,0.9684096831543267,1.390890106005827,1.3142035761384452,1.3142035761384452,0,0.929235170030608,0.929235170030608,1,0.019111360843297075,9558,3297,20000005,5,1,3378
