dataset,dimension,reference,metric,environment_id,paired_n,reference_mean,sc_mean,reference_minus_sc,improvement_percent
main,2,RRT,fixed_budget_cost_mm,evaluation-2d-00,50,2456.4285479862915,1985.0991047316693,471.3294432546222,19.187590196385088
main,2,RRT,fixed_budget_cost_mm,evaluation-2d-01,50,2620.325815051825,2101.7853985712463,518.5404164805786,19.789158031491702
main,2,RRT,fixed_budget_cost_mm,evaluation-2d-02,50,2708.570043925494,2072.510890742444,636.0591531830496,23.483208588588603
main,2,RRT,fixed_budget_cost_mm,evaluation-2d-03,50,2497.6827641497416,1981.5677649709642,516.1149991787775,20.663753082928956
main,2,RRT,fixed_budget_cost_mm,evaluation-2d-04,50,2549.8194429935043,2053.823782952828,495.9956600406763,19.452187542282378
main,2,RRT,fixed_budget_cost_mm,evaluation-2d-05,50,2504.497653845896,1997.7227501484701,506.77490369742577,20.234592870120057
main,2,RRT,fixed_budget_cost_mm,evaluation-2d-06,50,2386.225161157082,1953.0561110727247,433.1690500843572,18.152899279392113
main,2,RRT,fixed_budget_cost_mm,evaluation-2d-07,50,2623.395031683686,2081.877307142831,541.5177245408549,20.64186742754143
main,2,RRT,fixed_budget_cost_mm,evaluation-2d-08,50,2519.8902350689664,2036.3574671961512,483.53276787281516,19.188644058521124
main,2,RRT,fixed_budget_cost_mm,evaluation-2d-09,50,2462.5496955464378,1965.4978630611065,497.05183248533126,20.184438648456833
main,2,RRT,fixed_budget_time_s,evaluation-2d-00,50,0.3143474354071077,1.2977613571402618,-0.9834139217331541,-312.8429918505765
main,2,RRT,fixed_budget_time_s,evaluation-2d-01,50,0.3129658284829929,1.2184826687164605,-0.9055168402334676,-289.33409267800454
main,2,RRT,fixed_budget_time_s,evaluation-2d-02,50,0.30964562610141,1.162834598334739,-0.853188972233329,-275.5372271765617
main,2,RRT,fixed_budget_time_s,evaluation-2d-03,50,0.3077098857809324,1.2480614043434617,-0.9403515185625293,-305.5967851588599
main,2,RRT,fixed_budget_time_s,evaluation-2d-04,50,0.3145056718820706,1.2511846143438015,-0.9366789424617308,-297.82577110817726
main,2,RRT,fixed_budget_time_s,evaluation-2d-05,50,0.31923585351905787,1.2934720869595184,-0.9742362334404606,-305.1775741042509
main,2,RRT,fixed_budget_time_s,evaluation-2d-06,50,0.31340082549955695,1.3309200018027332,-1.0175191763031761,-324.6702285104908
main,2,RRT,fixed_budget_time_s,evaluation-2d-07,50,0.31130096400273033,1.1617772551381496,-0.8504762911354192,-273.20066092951765
main,2,RRT,fixed_budget_time_s,evaluation-2d-08,50,0.3057324050785974,1.2175741699768696,-0.9118417648982722,-298.24832099948867
main,2,RRT,fixed_budget_time_s,evaluation-2d-09,50,0.3005574280372821,1.2280780073220376,-0.9275205792847556,-308.60011856692597
main,2,RRT,first_solution_time_s,evaluation-2d-00,50,0.04184881704044525,0.019755706541473,0.022093110498972248,52.79267626040688
main,2,RRT,first_solution_time_s,evaluation-2d-01,50,0.03822767365723844,0.038364819382550146,-0.00013714572531170477,-0.3587603225385809
main,2,RRT,first_solution_time_s,evaluation-2d-02,50,0.0569274965417571,0.06041385925491336,-0.003486362713156263,-6.124215756789811
main,2,RRT,first_solution_time_s,evaluation-2d-03,50,0.04215788486297239,0.018631683783605645,0.023526201079366742,55.80498441948637
main,2,RRT,first_solution_time_s,evaluation-2d-04,50,0.03268146330141458,0.034036151483887764,-0.0013546881824731821,-4.145127070899992
main,2,RRT,first_solution_time_s,evaluation-2d-05,50,0.035415790682891336,0.035165328063303566,0.0002504626195877699,0.7072060647477324
main,2,RRT,first_solution_time_s,evaluation-2d-06,50,0.03256228159763846,0.01671558194095264,0.01584669965668582,48.665814799154255
main,2,RRT,first_solution_time_s,evaluation-2d-07,50,0.042816321325954004,0.03979716821806501,0.003019153107888993,7.051407067189751
main,2,RRT,first_solution_time_s,evaluation-2d-08,50,0.03741785224061456,0.028393546096049205,0.009024306144565352,24.117648673512253
main,2,RRT,first_solution_time_s,evaluation-2d-09,50,0.04453791891923171,0.023875227660173515,0.020662691259058192,46.39348169035337
main,2,RRT,first_attempt_capped,evaluation-2d-00,50,818.74,270.24,548.5,66.99318464958351
main,2,RRT,first_attempt_capped,evaluation-2d-01,50,761.68,547.58,214.0999999999999,28.108917130553504
main,2,RRT,first_attempt_capped,evaluation-2d-02,50,1133.04,833.98,299.05999999999995,26.394478570924235
main,2,RRT,first_attempt_capped,evaluation-2d-03,50,854.5,262.02,592.48,69.33645406670567
main,2,RRT,first_attempt_capped,evaluation-2d-04,50,663.9,480.5,183.39999999999998,27.624642265401413
main,2,RRT,first_attempt_capped,evaluation-2d-05,50,702.74,475.94,226.8,32.273671628198194
main,2,RRT,first_attempt_capped,evaluation-2d-06,50,653.98,222.24,431.74,66.0173093978409
main,2,RRT,first_attempt_capped,evaluation-2d-07,50,868.06,586.78,281.28,32.40329009515471
main,2,RRT,first_attempt_capped,evaluation-2d-08,50,772.76,394.82,377.94,48.90781096330038
main,2,RRT,first_attempt_capped,evaluation-2d-09,50,904.7,361.08,543.6200000000001,60.088427102907055
main,2,RRT,total_nodes,evaluation-2d-00,50,3676.96,3315.5,361.46000000000004,9.830403376702494
main,2,RRT,total_nodes,evaluation-2d-01,50,3738.4,3160.68,577.7200000000003,15.453670019259583
main,2,RRT,total_nodes,evaluation-2d-02,50,3613.24,3019.54,593.6999999999998,16.43123623119416
main,2,RRT,total_nodes,evaluation-2d-03,50,3704.96,3301.08,403.8800000000001,10.90106235964761
main,2,RRT,total_nodes,evaluation-2d-04,50,3783.06,3239.6,543.46,14.365619366333075
main,2,RRT,total_nodes,evaluation-2d-05,50,3773.02,3316.72,456.3000000000002,12.093760435937265
main,2,RRT,total_nodes,evaluation-2d-06,50,3703.1,3391.54,311.55999999999995,8.413491399098051
main,2,RRT,total_nodes,evaluation-2d-07,50,3696.6,3074.16,622.44,16.838175620840776
main,2,RRT,total_nodes,evaluation-2d-08,50,3762.46,3306.64,455.82000000000016,12.114946072516389
main,2,RRT,total_nodes,evaluation-2d-09,50,3676.94,3298.26,378.67999999999984,10.298781051635324
main,2,RRT,collision_checks,evaluation-2d-00,50,4809.98,15879.58,-11069.6,-230.13817105268632
main,2,RRT,collision_checks,evaluation-2d-01,50,4803.54,14820.04,-10016.5,-208.52329740149972
main,2,RRT,collision_checks,evaluation-2d-02,50,4826.96,14371.26,-9544.3,-197.7290054195601
main,2,RRT,collision_checks,evaluation-2d-03,50,4811.0,15846.42,-11035.42,-229.37892330076906
main,2,RRT,collision_checks,evaluation-2d-04,50,4801.2,15178.86,-10377.66,-216.14721319670085
main,2,RRT,collision_checks,evaluation-2d-05,50,4804.96,15624.6,-10819.64,-225.17648429955713
main,2,RRT,collision_checks,evaluation-2d-06,50,4796.22,16222.5,-11426.279999999999,-238.23511014924253
main,2,RRT,collision_checks,evaluation-2d-07,50,4814.52,14382.32,-9567.8,-198.72801442303694
main,2,RRT,collision_checks,evaluation-2d-08,50,4804.7,15464.46,-10659.759999999998,-221.86109434512036
main,2,RRT,collision_checks,evaluation-2d-09,50,4811.88,15904.14,-11092.259999999998,-230.51821741190548
