dataset,dimension,reference,metric,environment_id,paired_n,reference_mean,sc_mean,reference_minus_sc,improvement_percent
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_cost_mm,evaluation-2d-00,50,1993.749686418303,1985.0991047316693,8.650581686633814,0.43388504312064674
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_cost_mm,evaluation-2d-01,50,2090.6140827653026,2101.7853985712463,-11.171315805943777,-0.534355713856439
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_cost_mm,evaluation-2d-02,50,2084.6655459835138,2072.510890742444,12.154655241069577,0.5830506128183355
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_cost_mm,evaluation-2d-03,50,1993.226473703254,1981.5677649709642,11.658708732289824,0.5849164099566109
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_cost_mm,evaluation-2d-04,50,2061.1673853494667,2053.823782952828,7.343602396638744,0.35628365017010255
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_cost_mm,evaluation-2d-05,50,2000.498077596404,1997.7227501484701,2.7753274479339325,0.13873182279027654
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_cost_mm,evaluation-2d-06,50,1957.4628114155075,1953.0561110727247,4.4067003427828695,0.2251230683456119
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_cost_mm,evaluation-2d-07,50,2095.294216091671,2081.877307142831,13.416908948840046,0.6403353212068927
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_cost_mm,evaluation-2d-08,50,2035.0380492625548,2036.3574671961512,-1.319417933596469,-0.06483504984462536
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_cost_mm,evaluation-2d-09,50,1974.9645467150722,1965.4978630611065,9.466683653965674,0.4793343591767995
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_time_s,evaluation-2d-00,50,1.2536059188004582,1.2794456937396899,-0.02583977493923162,-2.0612358757812026
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_time_s,evaluation-2d-01,50,1.2121976681775413,1.2241806251415983,-0.011982956964057045,-0.9885315966720697
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_time_s,evaluation-2d-02,50,1.1170872317795875,1.1528565097565298,-0.03576927797694229,-3.2020129636572494
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_time_s,evaluation-2d-03,50,1.2875514569389634,1.2904923430818598,-0.0029408861428963373,-0.22840921246658574
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_time_s,evaluation-2d-04,50,1.2516318909014807,1.2713279028015676,-0.01969601190008685,-1.5736265625111958
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_time_s,evaluation-2d-05,50,1.2335335793788544,1.248767544219736,-0.015233964840881464,-1.2349858241031852
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_time_s,evaluation-2d-06,50,1.2643420254788362,1.2756325823400403,-0.01129055686120406,-0.8929986217082406
matched_ssfor,2,SC-RRT-fixed-matched,fixed_budget_time_s,evaluation-2d-07,50,1.144751993639511,1.1622376798000187,-0.01748568616050772,-1.5274650105579168
