environment_id,family,dimension,seed,algorithm,success,budget_limit,expansion_attempts,added_nodes,total_nodes,collision_checks,collision_rejections,rewire_attempts,rewire_successes,first_solution_attempt,first_solution_time_s,first_solution_nodes,first_solution_cost_mm,first_solution_efficiency,fixed_budget_time_s,fixed_budget_cost_mm,fixed_budget_efficiency,path_valid,gamma_a_final,gamma_b_final,p_a_final,p_b_final,feedback_updates,pid_improvement_ema_final,map_index,seed_index
calibration-2d-00,uniform_clutter,2,20000000,SC-RRT,1,5000,5000,3099,3101,15141,1314,8845,3113,566.0,0.04352490697056055,172.0,2077.8241099802713,0.9188401944290683,1.2555652589653619,1976.5639733650619,0.9659127328691123,1,1.28726831686514,1.28726831686514,0.9483446567550463,0.9483446567550463,99,0.04745241292503037,0,0
calibration-2d-00,uniform_clutter,2,20000000,SC-RRT-no-ADCS,1,5000,5000,3316,3318,14478,1397,7448,2568,566.0,0.035954691004008055,172.0,2077.8241099802713,0.9188401944290683,1.1012530279695056,2014.3080428014907,0.9478134767055726,1,4.0,4.0,0.0,0.0,0,0.0,0,0
calibration-2d-00,uniform_clutter,2,20000000,SC-RRT-no-SSFOR,1,5000,5000,3073,3075,14333,1276,8510,2934,566.0,0.03607604798162356,172.0,2077.8241099802713,0.9188401944290683,1.1372046699980274,1962.8283310495667,0.9726720768202862,1,1.5,1.5,0.8,0.8,0,0.0,0,0
calibration-2d-00,uniform_clutter,2,20000001,SC-RRT-no-ADCS,1,5000,5000,3441,3443,15141,1255,7964,2827,475.0,0.03312853997340426,157.0,2123.3199641356446,0.8991524317819267,1.095505189965479,1986.7234026728593,0.9609733829254398,1,4.0,4.0,0.0,0.0,0,0.0,0,1
calibration-2d-00,uniform_clutter,2,20000001,SC-RRT-no-SSFOR,1,5000,5000,3132,3134,14711,1064,8941,3437,475.0,0.027930860000196844,157.0,2123.3199641356446,0.8991524317819267,1.102158936962951,1969.715739028729,0.9692709822916392,1,1.5,1.5,0.8,0.8,0,0.0,0,1
calibration-2d-00,uniform_clutter,2,20000001,SC-RRT,1,5000,5000,3313,3315,15942,1200,9180,3344,475.0,0.030665692000184208,157.0,2123.3199641356446,0.8991524317819267,1.315412262978498,1960.6392121359222,0.9737580975562591,1,1.2866519983162092,1.2866519983162092,0.9487812728751203,0.9487812728751203,99,0.06208427447491674,0,1
calibration-2d-00,uniform_clutter,2,20000002,SC-RRT-no-SSFOR,1,5000,5000,3145,3147,15146,1000,9498,3752,256.0,0.01817996898898855,130.0,2173.4064705221954,0.8784313174263099,1.1006600529653952,1987.2587065654925,0.9607145274523716,1,1.5,1.5,0.8,0.8,0,0.0,0,2
calibration-2d-00,uniform_clutter,2,20000002,SC-RRT,1,5000,5000,3294,3296,15906,1018,9503,3345,256.0,0.01800326001830399,130.0,2173.4064705221954,0.8784313174263099,1.2649019040400162,1956.109095787611,0.9760132056617014,1,1.2863353973704914,1.2863353973704914,0.9490055458129364,0.9490055458129364,99,0.03759294545240537,0,2
calibration-2d-00,uniform_clutter,2,20000002,SC-RRT-no-ADCS,1,5000,5000,3628,3630,16009,1054,8637,3110,256.0,0.017445289995521307,130.0,2173.4064705221954,0.8784313174263099,1.1745243819896132,1992.0038228864282,0.9584260267318415,1,4.0,4.0,0.0,0.0,0,0.0,0,2
calibration-2d-00,uniform_clutter,2,20000003,SC-RRT,1,5000,5000,3491,3493,16659,1018,9761,3971,223.0,0.017005478963255882,111.0,2188.0144504227815,0.8725665906067362,1.28667449997738,1963.173527058123,0.9725010463362639,1,1.2854876036393996,1.2854876036393996,0.9496060512089084,0.9496060512089084,99,0.06634022122507126,0,3
calibration-2d-00,uniform_clutter,2,20000003,SC-RRT-no-ADCS,1,5000,5000,3743,3745,16491,986,8943,3326,223.0,0.01555860904045403,111.0,2188.0144504227815,0.8725665906067362,1.263443176052533,1979.2821888980986,0.964586212068405,1,4.0,4.0,0.0,0.0,0,0.0,0,3
calibration-2d-00,uniform_clutter,2,20000003,SC-RRT-no-SSFOR,1,5000,5000,3168,3170,15212,1012,9529,3762,223.0,0.01570016803452745,111.0,2188.0144504227815,0.8725665906067362,1.1455718770157546,2032.110908835837,0.9395098962868227,1,1.5,1.5,0.8,0.8,0,0.0,0,3
calibration-2d-00,uniform_clutter,2,20000004,SC-RRT-no-ADCS,1,5000,5000,3505,3507,15949,1185,8726,3226,320.0,0.02408994996221736,136.0,2202.8370283965282,0.8666952137595941,1.1266359649598598,1983.0890394633418,0.9627345374872011,1,4.0,4.0,0.0,0.0,0,0.0,0,4
calibration-2d-00,uniform_clutter,2,20000004,SC-RRT-no-SSFOR,1,5000,5000,3065,3067,14878,1153,9099,3558,320.0,0.02318454603664577,136.0,2202.8370283965282,0.8666952137595941,1.1368239180301316,1981.0857056121479,0.9637080838023342,1,1.5,1.5,0.8,0.8,0,0.0,0,4
calibration-2d-00,uniform_clutter,2,20000004,SC-RRT,1,5000,5000,3362,3364,16919,1093,10229,3783,320.0,0.023474099987652153,136.0,2202.8370283965282,0.8666952137595941,1.3226180269848555,1959.2676475169703,0.9744397666256783,1,1.3116843671623903,1.3116843671623903,0.9310239501606323,0.9310239501606323,99,0.025889725098011348,0,4
calibration-2d-01,central_cluster,2,20010000,SC-RRT-no-SSFOR,1,5000,5000,2692,2694,12155,1723,6674,2381,1133.0,0.06851253699278459,287.0,2581.0745389260064,0.739687397791347,0.9392546140006743,2240.3850302063443,0.8521697313018727,1,1.5,1.5,0.8,0.8,0,0.0,1,0
calibration-2d-01,central_cluster,2,20010000,SC-RRT,1,5000,5000,2640,2642,12310,1793,6544,2240,1133.0,0.06780556397279724,287.0,2581.0745389260064,0.739687397791347,0.9543089930084534,2160.1759195338036,0.8838114951377238,1,1.2940778202433172,1.2940778202433172,0.9435181943516233,0.9435181943516233,99,0.16242780972958373,1,0
calibration-2d-01,central_cluster,2,20010000,SC-RRT-no-ADCS,1,5000,5000,3014,3016,13360,1775,6568,2197,1133.0,0.06785225303610787,287.0,2581.0745389260064,0.739687397791347,1.0023058790247887,2311.811615938025,0.8258407804690517,1,4.0,4.0,0.0,0.0,0,0.0,1,0
calibration-2d-01,central_cluster,2,20010001,SC-RRT,1,5000,5000,3057,3059,15231,1385,9002,2935,459.0,0.02942303300369531,146.0,2313.1888595223086,0.8253490852441423,1.2328144109924324,2122.6751378644376,0.8994255763152047,1,1.2866513928996641,1.2866513928996641,0.9487817017485376,0.9487817017485376,99,0.04125557645845849,1,1
calibration-2d-01,central_cluster,2,20010001,SC-RRT-no-ADCS,1,5000,5000,3369,3371,15777,1382,8660,3317,459.0,0.02840812096837908,146.0,2313.1888595223086,0.8253490852441423,1.2776466849609278,2110.9588809911625,0.9044175736418198,1,4.0,4.0,0.0,0.0,0,0.0,1,1
calibration-2d-01,central_cluster,2,20010001,SC-RRT-no-SSFOR,1,5000,5000,2793,2795,12663,1392,7417,2817,459.0,0.030117210000753403,146.0,2313.1888595223086,0.8253490852441423,1.008164911007043,2117.682865386585,0.9015459020844248,1,1.5,1.5,0.8,0.8,0,0.0,1,1
calibration-2d-01,central_cluster,2,20010002,SC-RRT-no-ADCS,1,5000,5000,3135,3137,13598,1644,6753,2383,888.0,0.06304076401283965,276.0,2328.448114338188,0.8199402415055851,0.999332626000978,2168.0495477316467,0.8806017884605978,1,4.0,4.0,0.0,0.0,0,0.0,1,2
calibration-2d-01,central_cluster,2,20010002,SC-RRT-no-SSFOR,1,5000,5000,2942,2944,13946,1475,8254,3288,888.0,0.056854529946576804,276.0,2328.448114338188,0.8199402415055851,1.016830903943628,2114.8332647872226,0.9027606766889802,1,1.5,1.5,0.8,0.8,0,0.0,1,2
calibration-2d-01,central_cluster,2,20010002,SC-RRT,1,5000,5000,2690,2692,12347,1563,7012,2404,888.0,0.05563770997105166,276.0,2328.448114338188,0.8199402415055851,0.9847175009781495,2065.090679841933,0.9245057991108712,1,1.2901422965772962,1.2901422965772962,0.9463081511344114,0.9463081511344114,99,0.08009578911926808,1,2
calibration-2d-01,central_cluster,2,20010003,SC-RRT-no-SSFOR,1,5000,5000,3080,3082,13963,1231,8309,2998,488.0,0.030213453981559724,163.0,2306.7558376706556,0.8276507977244623,1.0456252109725028,2180.0560761757038,0.8757519267819996,1,1.5,1.5,0.8,0.8,0,0.0,1,3
calibration-2d-01,central_cluster,2,20010003,SC-RRT,1,5000,5000,3238,3240,15624,1298,9042,3357,488.0,0.029182830010540783,163.0,2306.7558376706556,0.8276507977244623,1.147333308996167,2183.2373018892313,0.8744758563586245,1,1.2858966351857593,1.2858966351857593,0.949316337458625,0.949316337458625,99,0.04270329750006667,1,3
