dimension,algorithm,n,success_rate,success_ci95_low,success_ci95_high,first_solution_attempt_mean,first_solution_attempt_std,first_solution_attempt_median,first_solution_attempt_q1,first_solution_attempt_q3,first_solution_time_s_mean,first_solution_time_s_std,first_solution_time_s_median,first_solution_time_s_q1,first_solution_time_s_q3,first_solution_nodes_mean,first_solution_nodes_std,first_solution_nodes_median,first_solution_nodes_q1,first_solution_nodes_q3,first_solution_cost_mm_mean,first_solution_cost_mm_std,first_solution_cost_mm_median,first_solution_cost_mm_q1,first_solution_cost_mm_q3,first_solution_efficiency_mean,first_solution_efficiency_std,first_solution_efficiency_median,first_solution_efficiency_q1,first_solution_efficiency_q3,fixed_budget_time_s_mean,fixed_budget_time_s_std,fixed_budget_time_s_median,fixed_budget_time_s_q1,fixed_budget_time_s_q3,fixed_budget_cost_mm_mean,fixed_budget_cost_mm_std,fixed_budget_cost_mm_median,fixed_budget_cost_mm_q1,fixed_budget_cost_mm_q3,fixed_budget_efficiency_mean,fixed_budget_efficiency_std,fixed_budget_efficiency_median,fixed_budget_efficiency_q1,fixed_budget_efficiency_q3,total_nodes_mean,total_nodes_std,total_nodes_median,total_nodes_q1,total_nodes_q3,collision_checks_mean,collision_checks_std,collision_checks_median,collision_checks_q1,collision_checks_q3
2,RRT,20,1.0,0.8388748419471806,1.0,1054.9,493.47776572319634,911.0,718.0,1285.25,0.05703391485440076,0.02769942756186811,0.0505074470129329,0.0377436715061776,0.07301927149819674,680.8,304.739854543787,571.5,465.0,883.75,2459.8420198244025,209.0934754273053,2394.4000347125457,2327.6131487375055,2536.721245433636,0.7811119544742908,0.061737364462363484,0.7973785411755216,0.7526359646411712,0.8202431627977455,0.3369464886491187,0.03311967097932518,0.3355997500184458,0.31715676523162983,0.3484223035047762,2459.8420198244025,209.0934754273053,2394.4000347125457,2327.6131487375055,2536.721245433636,0.7811119544742908,0.061737364462363484,0.7973785411755216,0.7526359646411712,0.8202431627977455,3689.85,106.60861770242148,3700.0,3619.75,3737.5,4824.05,27.85578462083065,4827.0,4805.5,4846.25
2,RRT-Connect,20,1.0,0.8388748419471806,1.0,595.65,462.6740668173041,386.0,273.0,812.5,0.028744677652139162,0.019188547542926558,0.0244077900133561,0.015823736524907827,0.037253030735882875,192.15,103.38139657547067,151.5,131.5,241.0,2435.0771875513883,267.2115390727791,2342.3905353908544,2229.6297372257177,2664.038678288238,0.7925676857802649,0.08222756933231644,0.815077392803774,0.7166518783101264,0.8562971357374529,0.5444519347976893,0.07193766863225103,0.5424215644889046,0.4917357789818197,0.5964223472547019,2288.466370674797,179.47690610093645,2217.099359587725,2151.9822494072014,2437.5992183879243,0.8389990088741326,0.06366378922622384,0.8611233906413323,0.7832411443708711,0.8871989656831274,3920.85,310.582351991257,3962.5,3759.75,4141.75,5000.0,0.0,5000.0,5000.0,5000.0
2,RRT*,20,1.0,0.8388748419471806,1.0,1054.9,493.47776572319634,911.0,718.0,1285.25,0.20566158154397268,0.12176344993781593,0.1587048014916945,0.11117042519617817,0.2847463182260981,680.8,304.739854543787,571.5,465.0,883.75,2053.1490641750956,96.85950562462779,2018.7304647143305,1979.3652100981226,2094.01495631924,0.9317735088038491,0.04221627912866322,0.945771240124406,0.9117361485345321,0.9645457702576743,1.6985134169866796,0.1572302642984948,1.713311403465923,1.574916821467923,1.8074563702684825,1976.4319545497667,50.20981252846859,1953.0844562802217,1947.9494242026708,1986.216259308432,0.9665553544113262,0.023956915503312894,0.9775247765416357,0.9614788964858867,0.9801016870472337,3689.85,106.60861770242148,3700.0,3619.75,3737.5,25441.75,1216.9831497773932,25655.0,24502.5,26216.75
2,Informed-RRT*,20,1.0,0.8388748419471806,1.0,1054.9,493.47776572319634,911.0,718.0,1285.25,0.20756970984512005,0.12421014000929635,0.16127714148024092,0.11260106798727065,0.2880152747384272,680.8,304.739854543787,571.5,465.0,883.75,2053.1490641750956,96.85950562462779,2018.7304647143305,1979.3652100981226,2094.01495631924,0.9317735088038491,0.04221627912866322,0.945771240124406,0.9117361485345321,0.9645457702576743,2.916639671992743,0.7626865170386457,2.9264714919845574,2.350888170476537,3.2844851222325815,1963.4215800472507,52.19559704977201,1942.9270108997946,1932.9291297804084,1970.8736959926669,0.9730145808291336,0.025202014707029152,0.9826353012607847,0.9689761396075206,0.987735345196411,3608.85,138.22303677295199,3650.5,3539.5,3704.75,37518.0,8598.292994603791,37556.5,32624.0,40821.25
2,Dynamic-RRT,20,1.0,0.8388748419471806,1.0,896.6,420.39672991867553,765.0,534.75,1209.25,0.23458926474850159,0.12264592659995849,0.19241147799766622,0.13973550221999173,0.34699217748129735,515.15,240.00751632967007,398.5,334.25,739.75,2509.801076486592,196.56712038107412,2466.8379246830928,2384.574743309475,2589.5753919337158,0.7649692829001381,0.05765943171535682,0.7739895074864875,0.7372939443415114,0.8006480085661072,1.692042757300078,0.13132716562964292,1.6587560460029636,1.5866458222444633,1.8257201700034782,2509.664319959786,196.69117366349303,2466.8379246830928,2384.574743309475,2589.5753919337158,0.76501695440958,0.05770362534602712,0.7739895074864875,0.7372939443415114,0.8006480085661072,3272.95,76.3651029421713,3255.5,3224.5,3334.0,4395.85,63.77862618381441,4377.5,4348.0,4434.0
2,SC-RRT,20,1.0,0.8388748419471806,1.0,497.95,353.33381785799287,396.0,247.75,578.5,0.03667661449580915,0.026484995915817176,0.0264813544927164,0.020912230000249023,0.04305584223766343,185.6,93.1610942061342,151.5,131.75,209.5,2207.2950583640736,134.50777010100379,2176.289674106189,2117.4788084205916,2277.6514296954642,0.8678211483533321,0.04983065435024778,0.8772690891567563,0.8382719696633842,0.9016534799053678,1.3606101546960416,0.202759251450816,1.4145453384844586,1.2761452580161858,1.4778670947271166,2015.8187389172963,74.60512040719335,1979.1941155717445,1962.5399483275728,2059.707848027694,0.9482943326524194,0.03389511469495973,0.9646291518889981,0.9269240052486895,0.9728153091412628,3227.3,315.9132292593215,3309.5,3113.0,3452.5,15411.8,1700.682265569043,15845.5,15150.0,16566.75
3,RRT,20,1.0,0.8388748419471806,1.0,607.4,114.35650627015409,592.0,535.5,662.5,0.038237129163462634,0.00659560369403107,0.036387913045473355,0.03286362723156343,0.04261054500238968,532.5,94.34009026696417,511.5,466.5,595.25,3062.480021185396,144.33837582571414,3094.9120536036753,2957.4529677340574,3124.425791499986,0.7651047232073792,0.03543105010275136,0.7555203117075613,0.7483893782767732,0.790636605327151,0.39692296720459125,0.015326156208737271,0.3926107849983964,0.3842613572633127,0.40796425225562416,3062.480021185396,144.33837582571414,3094.9120536036753,2957.4529677340574,3124.425791499986,0.7651047232073792,0.03543105010275136,0.7555203117075613,0.7483893782767732,0.790636605327151,4415.7,41.530077876414495,4425.0,4372.0,4441.5,4787.2,19.42488908049345,4787.5,4770.75,4796.75
3,RRT-Connect,20,1.0,0.8388748419471806,1.0,190.1,113.13796886987144,158.0,118.75,221.5,0.011982456708210468,0.00587496143111348,0.00997771450784055,0.008494549983879501,0.013319164529093475,120.25,42.315699463114534,113.0,93.75,124.0,2595.393504919694,150.51287841250897,2553.266386350003,2499.6261338351383,2615.5977715448653,0.9035857645924594,0.048304593308102085,0.9157950718480573,0.8940046318115621,0.935468769051932,0.6891755186021328,0.033647389419648836,0.6813526025216561,0.6750002629851224,0.710457825960475,2555.9124980797674,94.57471925357444,2541.6009612505304,2499.6261338351383,2582.517327433252,0.9159915721483669,0.03259963441280025,0.9199985293690582,0.9054449929141474,0.935468769051932,4702.6,90.01660665501788,4729.5,4665.5,4759.25,5000.0,0.0,5000.0,5000.0,5000.0
3,RRT*,20,1.0,0.8388748419471806,1.0,607.4,114.35650627015409,592.0,535.5,662.5,0.09611576974566557,0.01971916083956842,0.09475482747075145,0.08141387075011147,0.1062745265080593,532.5,94.34009026696417,511.5,466.5,595.25,2507.879175729557,73.64310313963378,2500.3846510757576,2449.700808699026,2544.5523903638,0.9331155293739961,0.02678236298739125,0.9351635850669228,0.9189442463161431,0.9545126098773351,1.4567248172999825,0.0835991837510322,1.4606590764888097,1.3786565024929587,1.518951201491291,2466.5706473500004,51.55213784450045,2460.7889383276242,2431.0898995432726,2496.3238429163825,0.9483734061271614,0.019636410483165074,0.950211300986828,0.936685199104518,0.961819500677719,4415.7,41.530077876414495,4425.0,4372.0,4441.5,18274.1,469.55240725385994,18154.5,17913.0,18442.75
3,Informed-RRT*,20,1.0,0.8388748419471806,1.0,607.4,114.35650627015409,592.0,535.5,662.5,0.09724925729969977,0.018982501759199442,0.0968708755099214,0.0843470717518357,0.10568487650016314,532.5,94.34009026696417,511.5,466.5,595.25,2507.879175729557,73.64310313963378,2500.3846510757576,2449.700808699026,2544.5523903638,0.9331155293739961,0.02678236298739125,0.9351635850669228,0.9189442463161431,0.9545126098773351,3.0402885405957933,0.8969560557883286,2.8282133629836608,2.5439777964784303,3.240514645483927,2388.8558500748863,52.56046444544018,2374.166696346761,2360.455938114519,2392.121282644103,0.9792531720893487,0.02055778170146858,0.9848797719178211,0.9775008905272048,0.990600866333648,4289.8,108.7994775529252,4310.5,4203.75,4378.5,29489.25,3487.039188571241,29784.0,26902.25,31208.0
