environment_id,family,dimension,map_index,seed_index,seed,algorithm,success,budget_limit,expansion_attempts,added_nodes,total_nodes,collision_checks,collision_rejections,rewire_attempts,rewire_successes,first_solution_attempt,first_solution_time_s,first_solution_nodes,first_solution_cost_mm,first_solution_efficiency,fixed_budget_time_s,fixed_budget_cost_mm,fixed_budget_efficiency,path_valid,pareto_start_index,gamma_a_final,gamma_b_final,p_a_final,p_b_final,feedback_updates,pid_improvement_ema_final
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT,1,5000,5000,3215,3217,15367,1302,8788,3106,497.0,0.04243326798314229,184.0,2627.616127963768,0.7265857021067895,1.1811865799827501,2035.1718536324838,0.9380968520157433,1,,1.289592960566407,1.289592960566407,0.9466974734271422,0.9466974734271422,99,0.12697741526405762
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT-no-ADCS,1,5000,5000,3541,3543,15778,1230,8425,2823,497.0,0.03067562700016424,184.0,2627.616127963768,0.7265857021067895,1.1907854919554666,2050.8170053746508,0.9309403541126288,1,,4.0,4.0,0.0,0.0,0,0.0
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT-no-SSFOR,1,5000,5000,3078,3080,14368,1165,8530,2921,497.0,0.0323008350096643,184.0,2627.616127963768,0.7265857021067895,1.1669854950159788,2199.6288652659036,0.867959290474616,1,,1.5,1.5,0.8,0.8,0,0.0
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT-no-ADCS,1,5000,5000,3649,3651,15897,1079,8496,2900,324.0,0.020714326994493604,144.0,2090.033038607674,0.9134727891552998,1.1853755899937823,1992.9124950858989,0.9579890305827944,1,,4.0,4.0,0.0,0.0,0,0.0
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT-no-SSFOR,1,5000,5000,3050,3052,14198,1011,8815,2983,324.0,0.021633277996443212,144.0,2090.033038607674,0.9134727891552998,1.0702123699593358,1972.5055055096027,0.9679001168163704,1,,1.5,1.5,0.8,0.8,0,0.0
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT,1,5000,5000,3313,3315,15606,1104,9103,3425,324.0,0.020970612997189164,144.0,2090.033038607674,0.9134727891552998,1.1498610129929148,1978.648051522551,0.9648953525284983,1,,1.2900223391382892,1.2900223391382892,0.9463931691181464,0.9463931691181464,99,0.029155298989306893
evaluation-2d-00,uniform_clutter,2,0,2,20000002,SC-RRT-no-SSFOR,1,5000,5000,3107,3109,14314,978,8798,3153,119.0,0.010110179951880127,93.0,2068.28327938495,0.9230787330889305,1.0248681399971247,1956.3440664178027,0.9758959796369205,1,,1.5,1.5,0.8,0.8,0,0.0
evaluation-2d-00,uniform_clutter,2,0,2,20000002,SC-RRT,1,5000,5000,3309,3311,16585,1182,9848,3437,119.0,0.009588196990080178,93.0,2068.28327938495,0.9230787330889305,1.2993345700087957,1950.7908440641386,0.9786740157269815,1,,1.2855643856278547,1.2855643856278547,0.9495516685216646,0.9495516685216646,99,0.03252544408772917
evaluation-2d-00,uniform_clutter,2,0,2,20000002,SC-RRT-no-ADCS,1,5000,5000,3518,3520,15204,1135,8060,2691,119.0,0.009540992963593453,93.0,2068.28327938495,0.9230787330889305,1.0940401909756474,1993.1798125939931,0.9578605488277521,1,,4.0,4.0,0.0,0.0,0,0.0
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT,1,5000,5000,3293,3295,15345,1108,8832,2927,287.0,0.019490071979817003,126.0,2162.184475477498,0.8829904806258736,1.196147585986182,2004.5925672766036,0.9524071576287746,1,,1.291705260641283,1.291705260641283,0.9452003033215763,0.9452003033215763,99,0.03460439321433941
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT-no-ADCS,1,5000,5000,3568,3570,16076,1134,8766,3197,287.0,0.018701774009969085,126.0,2162.184475477498,0.8829904806258736,1.161808667005971,2017.3592291017474,0.9463799414910187,1,,4.0,4.0,0.0,0.0,0,0.0
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT-no-SSFOR,1,5000,5000,2970,2972,14520,1252,8773,3036,287.0,0.01979810296325013,126.0,2162.184475477498,0.8829904806258736,1.155796797014773,1991.4758770927972,0.9586801081370645,1,,1.5,1.5,0.8,0.8,0,0.0
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT-no-ADCS,1,5000,5000,3576,3578,15674,1161,8359,2847,416.0,0.028929765976499766,164.0,2143.4104097263235,0.8907245670452112,1.1429542179685086,1997.0831753939813,0.9559883798164975,1,,4.0,4.0,0.0,0.0,0,0.0
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT-no-SSFOR,1,5000,5000,3030,3032,14103,1129,8491,3145,416.0,0.027320371009409428,164.0,2143.4104097263235,0.8907245670452112,1.158494253992103,1969.055087235724,0.9695961893498418,1,,1.5,1.5,0.8,0.8,0,0.0
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT,1,5000,5000,3318,3320,16417,1179,9757,2762,416.0,0.02994586998829618,164.0,2143.4104097263235,0.8907245670452112,1.201208682032302,1946.9168236944815,0.9806214040416943,1,,1.2863880924262423,1.2863880924262423,0.9489682185617883,0.9489682185617883,99,0.04330207111860224
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT-no-SSFOR,1,5000,5000,3201,3203,15473,1061,9566,3426,254.0,0.01843969098990783,140.0,2084.1828846894764,0.916036842653628,1.200725018978119,1982.9203636732789,0.9628164318545728,1,,1.5,1.5,0.8,0.8,0,0.0
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT,1,5000,5000,3376,3378,16499,1231,9558,3297,254.0,0.021000897977501154,140.0,2084.1828846894764,0.916036842653628,1.5906222769990563,1971.4675951866004,0.9684096831543267,1,,1.3142035761384452,1.3142035761384452,0.929235170030608,0.929235170030608,99,0.019111360843297075
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT-no-ADCS,1,5000,5000,3522,3524,15287,1206,8044,2682,254.0,0.01801345101557672,140.0,2084.1828846894764,0.916036842653628,1.1350136239780113,1987.2858256117383,0.9607014172790068,1,,4.0,4.0,0.0,0.0,0,0.0
