environment_id,family,dimension,map_index,seed_index,seed,algorithm,checkpoint,best_cost_mm
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT,100,nan
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT,250,nan
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT,500,2627.616127963768
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT,1000,2396.5425853327506
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT,2000,2318.8064565259315
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT,3000,2249.1806805609217
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT,4000,2084.694891332641
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT,5000,2035.1718536324838
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT-no-ADCS,100,nan
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT-no-ADCS,250,nan
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT-no-ADCS,500,2627.616127963768
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT-no-ADCS,1000,2396.5425853327506
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT-no-ADCS,2000,2318.8064565259315
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT-no-ADCS,3000,2315.3950087153826
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT-no-ADCS,4000,2213.0665589725622
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT-no-ADCS,5000,2050.8170053746508
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT-no-SSFOR,100,nan
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT-no-SSFOR,250,nan
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT-no-SSFOR,500,2627.616127963768
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT-no-SSFOR,1000,2470.453587279092
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT-no-SSFOR,2000,2321.155559712186
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT-no-SSFOR,3000,2287.1489946386073
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT-no-SSFOR,4000,2249.5187965009795
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT-no-SSFOR,5000,2199.6288652659036
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT-no-ADCS,100,nan
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT-no-ADCS,250,nan
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT-no-ADCS,500,2071.700529961738
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT-no-ADCS,1000,2066.820083226978
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT-no-ADCS,2000,2033.7216452562093
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT-no-ADCS,3000,2019.3759392128295
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT-no-ADCS,4000,1997.2782421729125
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT-no-ADCS,5000,1992.9124950858989
