environment_id,family,dimension,map_index,seed_index,seed,algorithm,success,budget_limit,expansion_attempts,added_nodes,total_nodes,collision_checks,collision_rejections,rewire_attempts,rewire_successes,first_solution_attempt,first_solution_time_s,first_solution_nodes,first_solution_cost_mm,first_solution_efficiency,fixed_budget_time_s,fixed_budget_cost_mm,fixed_budget_efficiency,path_valid,pareto_start_index,gamma_a_final,gamma_b_final,p_a_final,p_b_final,feedback_updates,pid_improvement_ema_final
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT,1,5000,5000,3789,3790,4798,993,0,0,424.0,0.030065720027778298,297.0,2265.8695857952075,0.8425852578508609,0.330293947015889,2265.8695857952075,0.8425852578508609,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT-Connect,1,5000,5000,4277,4279,5000,723,0,0,109.0,0.005990275007206947,74.0,2066.82802732232,0.9237286721320148,0.5610983230290003,2066.82802732232,0.9237286721320148,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT*,1,5000,5000,3789,3790,26885,993,22087,4734,424.0,0.058874448004644364,297.0,1965.8506525911955,0.9711766795138632,1.7364113689982332,1957.2860919171599,0.97542628902739,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,0,20000000,Informed-RRT*,1,5000,5000,3696,3697,44935,1080,40131,5341,424.0,0.05632853100541979,297.0,1965.8506525911955,0.9711766795138632,3.477982723969035,1926.6499152568254,0.9909368038713876,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,0,20000000,Dynamic-RRT,1,5000,5000,3209,3210,4432,1204,0,0,1251.0,0.3118538769776933,677.0,2459.345804331291,0.7762992523626813,1.642680109012872,2459.345804331291,0.7762992523626813,1,3037,,,,,,
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT,1,5000,5000,3215,3217,15367,1302,8788,3106,497.0,0.03427594597451389,184.0,2627.616127963768,0.7265857021067895,1.3164789879810996,2035.1718536324838,0.9380968520157433,1,,1.289592960566407,1.289592960566407,0.9466974734271422,0.9466974734271422,99,0.12697741526405762
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT-Connect,1,5000,5000,4124,4126,5000,876,0,0,203.0,0.010111854004207999,106.0,2252.6993442696476,0.8475113707740082,0.5684350240044296,2233.8723149560838,0.8546541789436213,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT*,1,5000,5000,3804,3805,28285,1032,23433,5456,1171.0,0.24484478903468698,833.0,2145.0695553338687,0.8900356188713532,1.7513348549837247,1950.6624538436156,0.9787384308555198,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,1,20000001,Informed-RRT*,1,5000,5000,3651,3652,34926,1146,30105,5003,1171.0,0.24624478502664715,833.0,2145.0695553338687,0.8900356188713532,2.9025423820130527,1926.165997423,0.9911857606031692,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,1,20000001,Dynamic-RRT,1,5000,5000,3326,3327,4329,980,0,0,292.0,0.07586244103731588,214.0,2236.4235232257383,0.8536792290799787,1.8222608180367388,2236.4235232257383,0.8536792290799787,1,2490,,,,,,
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT,1,5000,5000,3313,3315,15606,1104,9103,3425,324.0,0.02539506903849542,144.0,2090.033038607674,0.9134727891552998,1.299891788046807,1978.648051522551,0.9648953525284983,1,,1.2900223391382892,1.2900223391382892,0.9463931691181464,0.9463931691181464,99,0.029155298989306893
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT,1,5000,5000,3804,3805,4852,1032,0,0,1171.0,0.05622155498713255,833.0,2716.5259828366534,0.7028050978588704,0.292906166985631,2716.5259828366534,0.7028050978588704,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,2,20000002,RRT*,1,5000,5000,3695,3696,27302,1114,22476,4708,841.0,0.1297909080167301,547.0,2020.6677067645307,0.944830415615761,1.5384208700270392,1936.129856970964,0.9860848446346283,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,2,20000002,Informed-RRT*,1,5000,5000,3656,3657,38033,1122,33232,5210,841.0,0.13110814604442567,547.0,2020.6677067645307,0.944830415615761,2.633524847042281,1944.171678770819,0.9820060286089248,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,2,20000002,Dynamic-RRT,1,5000,5000,3338,3339,4317,972,0,0,393.0,0.09463779896032065,259.0,2315.7747577825808,0.8244274633305787,1.513999132963363,2315.7747577825808,0.8244274633305787,1,711,,,,,,
evaluation-2d-00,uniform_clutter,2,0,2,20000002,SC-RRT,1,5000,5000,3309,3311,16585,1182,9848,3437,119.0,0.01054218498757109,93.0,2068.28327938495,0.9230787330889305,1.315108110953588,1950.7908440641386,0.9786740157269815,1,,1.2855643856278547,1.2855643856278547,0.9495516685216646,0.9495516685216646,99,0.03252544408772917
evaluation-2d-00,uniform_clutter,2,0,2,20000002,RRT,1,5000,5000,3695,3696,4826,1114,0,0,841.0,0.03989986696979031,547.0,2633.9617299804067,0.7248352500618451,0.2996880160062574,2633.9617299804067,0.7248352500618451,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,2,20000002,RRT-Connect,1,5000,5000,3972,3974,5000,1028,0,0,334.0,0.014660351967904717,130.0,2407.6548748329064,0.7929659392466613,0.5064888859633356,2269.0466604157177,0.8414054865023759,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,3,20000003,Informed-RRT*,1,5000,5000,3707,3708,44877,1051,40082,4943,504.0,0.0667203509947285,343.0,2031.9139935409903,0.939600945351314,3.340488172019832,1927.0527034214715,0.9907296805188176,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,3,20000003,Dynamic-RRT,1,5000,5000,3213,3214,4390,1164,0,0,790.0,0.1729317749850452,410.0,2308.6379560965825,0.8269760549340145,1.491275887005031,2308.6379560965825,0.8269760549340145,1,410,,,,,,
evaluation-2d-00,uniform_clutter,2,0,3,20000003,SC-RRT,1,5000,5000,3293,3295,15345,1108,8832,2927,287.0,0.018317962007131428,126.0,2162.184475477498,0.8829904806258736,1.2098128109937534,2004.5925672766036,0.9524071576287746,1,,1.291705260641283,1.291705260641283,0.9452003033215763,0.9452003033215763,99,0.03460439321433941
evaluation-2d-00,uniform_clutter,2,0,3,20000003,RRT,1,5000,5000,3681,3682,4778,1077,0,0,504.0,0.024562445003539324,343.0,2206.7343219970935,0.8651645511526117,0.3037966029951349,2206.7343219970935,0.8651645511526117,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,3,20000003,RRT-Connect,1,5000,5000,3871,3873,5000,1129,0,0,289.0,0.013041348021943122,139.0,2202.8455666468776,0.8666918544407096,0.5017747830133885,2197.4447506267325,0.8688219845614591,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,3,20000003,RRT*,1,5000,5000,3681,3682,27570,1077,22792,5143,504.0,0.06954463402507827,343.0,2031.9139935409903,0.939600945351314,1.5812501320033334,1951.629587450439,0.978253415238388,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,4,20000004,Dynamic-RRT,1,5000,5000,3202,3203,4355,1140,0,0,590.0,0.12128178303828463,328.0,2596.073877491137,0.7354137051942183,1.4896215089829639,2596.073877491137,0.7354137051942183,1,312,,,,,,
evaluation-2d-00,uniform_clutter,2,0,4,20000004,SC-RRT,1,5000,5000,3318,3320,16417,1179,9757,2762,416.0,0.029686118010431528,164.0,2143.4104097263235,0.8907245670452112,1.2605406540096737,1946.9168236944815,0.9806214040416943,1,,1.2863880924262423,1.2863880924262423,0.9489682185617883,0.9489682185617883,99,0.04330207111860224
evaluation-2d-00,uniform_clutter,2,0,4,20000004,RRT,1,5000,5000,3636,3637,4808,1160,0,0,579.0,0.028107809950597584,317.0,2653.4394445077883,0.7195145580410378,0.31032883195439354,2653.4394445077883,0.7195145580410378,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,4,20000004,RRT-Connect,1,5000,5000,4122,4124,5000,878,0,0,337.0,0.015575303987134248,131.0,2383.229027277542,0.8010930914955414,0.5390135249472223,2322.65495685881,0.8219853334503419,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,4,20000004,RRT*,1,5000,5000,3636,3637,26931,1160,22123,4896,579.0,0.06763031700393185,317.0,2186.185999573699,0.8732963753202908,1.5592093120212667,1963.2755512353594,0.9724505090497115,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,4,20000004,Informed-RRT*,1,5000,5000,3619,3620,36406,1169,31589,4892,579.0,0.06580019602552056,317.0,2186.185999573699,0.8732963753202908,2.6905323120299727,1947.5594822109624,0.9802978171615465,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,5,20000005,SC-RRT,1,5000,5000,3376,3378,16499,1231,9558,3297,254.0,0.019215360982343554,140.0,2084.1828846894764,0.916036842653628,1.3255738759762608,1971.4675951866004,0.9684096831543267,1,,1.3142035761384452,1.3142035761384452,0.929235170030608,0.929235170030608,99,0.019111360843297075
evaluation-2d-00,uniform_clutter,2,0,5,20000005,RRT,1,5000,5000,3750,3751,4788,1025,0,0,790.0,0.039469480980187654,548.0,2697.876588972702,0.7076633219648715,0.30582471197703853,2697.876588972702,0.7076633219648715,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,5,20000005,RRT-Connect,1,5000,5000,4234,4236,5000,766,0,0,178.0,0.013264074979815632,93.0,2118.450815644891,0.9012190866571949,0.5510934829944745,2118.450815644891,0.9012190866571949,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,5,20000005,RRT*,1,5000,5000,3750,3751,27031,1025,22243,4693,790.0,0.13885906402720138,548.0,2087.3268053809325,0.9146571127635453,1.6531879390240647,1940.1948286517077,0.9840188629563679,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,5,20000005,Informed-RRT*,1,5000,5000,3631,3632,38123,1150,33310,5473,790.0,0.14097310998477042,548.0,2087.3268053809325,0.9146571127635453,2.9265425450284965,1927.1333336208256,0.9906882289335782,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,5,20000005,Dynamic-RRT,1,5000,5000,3277,3278,4446,1150,0,0,1121.0,0.25649784598499537,601.0,2508.536190193372,0.761076645681762,1.634553434967529,2508.536190193372,0.761076645681762,1,1634,,,,,,
evaluation-2d-00,uniform_clutter,2,0,6,20000006,RRT,1,5000,5000,3604,3605,4814,1192,0,0,1155.0,0.05979659198783338,677.0,2948.865211704219,0.6474315277707499,0.31961500900797546,2948.865211704219,0.6474315277707499,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,6,20000006,RRT-Connect,1,5000,5000,4216,4218,5000,784,0,0,169.0,0.008357973012607545,90.0,2106.9451246462636,0.906140500229788,0.5426590570132248,2100.090528718881,0.9090980998654096,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,6,20000006,RRT*,1,5000,5000,3604,3605,26858,1192,22044,4830,1155.0,0.1955689659807831,677.0,2108.8047885209385,0.9053414140541354,1.654263661999721,1960.5416436979158,0.973806557662618,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,6,20000006,Informed-RRT*,1,5000,5000,3547,3548,36222,1276,31371,5195,1155.0,0.19355724996421486,677.0,2108.8047885209385,0.9053414140541354,2.682088103960268,1934.4934403036577,0.9869189884169329,1,,,,,,,
evaluation-2d-00,uniform_clutter,2,0,6,20000006,Dynamic-RRT,1,5000,5000,3261,3262,4352,1080,0,0,495.0,0.10264985403046012,256.0,2207.277342188681,0.8649517089277847,1.604319435020443,2207.277342188681,0.8649517089277847,1,254,,,,,,
evaluation-2d-00,uniform_clutter,2,0,6,20000006,SC-RRT,1,5000,5000,3373,3375,17388,1178,10571,3726,246.0,0.019591444986872375,137.0,2221.1935412088474,0.8595326223416959,1.4582461689715274,1967.6026211764142,0.970311936290362,1,,1.2888818542949874,1.2888818542949874,0.947201401792542,0.947201401792542,99,0.05604098992173732
