epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,38.7237,1.2785,5.86643,0.80601,1.40309,1.86482,0.92507,1,0.99091,0.83955,0.87871,0.95238,0.93109,0.25447,0.58871,2.7582,0.63861,0.41281,1.11758,0.00195,0.00065,0.00195,0.00065,0.00195,0.00065,0.00195,0.00065
2,62.6146,0.69593,1.59035,0.62148,0.3845,1.18345,0.98598,1,0.995,0.88865,0.98598,1,0.995,0.70973,0.51428,0.86024,0.40192,0.26698,0.99753,0.00393045,0.00131015,0.00393045,0.00131015,0.00393045,0.00131015,0.00393045,0.00131015
3,86.3181,0.67615,0.70079,0.52288,0.32987,1.13833,0.99004,1,0.995,0.87708,0.99004,1,0.995,0.81265,0.54315,0.66608,0.28583,0.2659,0.99453,0.00589109,0.0019637,0.00589109,0.0019637,0.00589109,0.0019637,0.00589109,0.0019637
4,108.219,0.67679,0.65457,0.45756,0.32831,1.1298,0.99693,1,0.995,0.89652,0.99693,1,0.995,0.92449,0.48181,0.31301,0.22941,0.22399,0.98835,0.0059109,0.0019703,0.0059109,0.0019703,0.0059109,0.0019703,0.0059109,0.0019703
5,129.955,0.65135,0.55391,0.39056,0.32416,1.13122,0.99661,1,0.995,0.90374,0.94916,0.95238,0.93699,0.7655,0.50028,0.81171,0.16057,0.24056,1.02965,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604
6,151.862,0.67603,0.50873,0.32954,0.33669,1.14932,0.99596,1,0.995,0.9259,0.99596,1,0.995,0.96363,0.53969,0.23079,0.1584,0.25755,1.04562,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505
7,173.603,0.63516,0.45568,0.27823,0.31568,1.12228,0.99732,1,0.995,0.8827,0.99732,1,0.995,0.97151,0.55751,0.22803,0.12158,0.24317,1.02496,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
8,195.066,0.65252,0.45722,0.25486,0.3274,1.13396,0.9967,1,0.995,0.88519,0.9967,1,0.995,0.95181,0.53128,0.25346,0.07909,0.23445,1.03553,0.0057921,0.0019307,0.0057921,0.0019307,0.0057921,0.0019307,0.0057921,0.0019307
9,216.947,0.65575,0.44064,0.22308,0.32437,1.13481,0.99651,1,0.995,0.88784,0.99651,1,0.995,0.97279,0.52458,0.22894,0.05623,0.25011,1.03996,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
10,238.438,0.66199,0.44376,0.21921,0.33717,1.12634,0.99592,1,0.995,0.9101,0.99592,1,0.995,0.97805,0.49061,0.2135,0.05999,0.23437,1.0061,0.0057327,0.0019109,0.0057327,0.0019109,0.0057327,0.0019109,0.0057327,0.0019109
11,260.054,0.64273,0.4249,0.20184,0.32245,1.10955,0.99687,1,0.995,0.86667,0.99687,1,0.995,0.97352,0.59641,0.26598,0.05051,0.26118,1.00949,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
12,281.958,0.63851,0.36641,0.20545,0.32469,1.0914,0.99687,1,0.995,0.8887,0.99687,1,0.995,0.98882,0.5447,0.17469,0.06061,0.22757,0.92793,0.0056733,0.0018911,0.0056733,0.0018911,0.0056733,0.0018911,0.0056733,0.0018911
13,303.414,0.60664,0.42392,0.20637,0.31039,1.0563,0.99459,1,0.995,0.9042,0.99459,1,0.995,0.97754,0.48733,0.20766,0.05551,0.22021,0.92766,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
14,324.928,0.63024,0.39215,0.18085,0.3137,1.0693,0.99729,1,0.995,0.88867,0.99729,1,0.995,0.9674,0.47935,0.20679,0.03727,0.21248,0.96904,0.0056139,0.0018713,0.0056139,0.0018713,0.0056139,0.0018713,0.0056139,0.0018713
15,346.849,0.61217,0.38026,0.16591,0.31394,1.09358,0.99767,1,0.995,0.8733,0.99767,1,0.995,0.98839,0.55289,0.18348,0.03278,0.25315,1.03826,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
16,368.309,0.61595,0.36558,0.17884,0.32783,1.09666,0.99611,1,0.995,0.87222,0.99611,1,0.995,0.99002,0.64339,0.166,0.03922,0.28531,1.02248,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515
17,389.789,0.6198,0.39799,0.17472,0.32637,1.0855,0.99741,1,0.995,0.86237,0.99741,1,0.995,0.995,0.5702,0.1573,0.03082,0.25507,0.95358,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
18,411.749,0.60278,0.36401,0.16402,0.31501,1.0737,0.99736,1,0.995,0.8835,0.99736,1,0.995,0.995,0.57324,0.15693,0.01973,0.26648,0.96943,0.0054951,0.0018317,0.0054951,0.0018317,0.0054951,0.0018317,0.0054951,0.0018317
19,433.249,0.61532,0.35109,0.16287,0.3046,1.09433,0.9544,0.99687,0.99318,0.89016,0.9544,0.99687,0.99318,0.98863,0.55781,0.18206,0.02663,0.27158,1.02494,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
20,454.68,0.61167,0.30765,0.15133,0.30945,1.09016,0.9476,0.95238,0.99152,0.89017,0.9476,0.95238,0.99152,0.98058,0.5839,0.22579,0.02933,0.30695,1.01842,0.0054357,0.0018119,0.0054357,0.0018119,0.0054357,0.0018119,0.0054357,0.0018119
21,476.69,0.61279,0.26702,0.15678,0.31191,1.07845,1,0.99806,0.995,0.89194,1,0.99806,0.995,0.98776,0.51928,0.15871,0.02606,0.25421,0.93475,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
22,498.213,0.60928,0.31055,0.16264,0.31392,1.0758,1,0.99908,0.995,0.90109,1,0.99908,0.995,0.995,0.52521,0.1518,0.02955,0.24811,0.95157,0.0053763,0.0017921,0.0053763,0.0017921,0.0053763,0.0017921,0.0053763,0.0017921
23,519.858,0.59759,0.3181,0.15268,0.30458,1.06962,0.99717,1,0.995,0.88341,0.99717,1,0.995,0.99245,0.51199,0.14472,0.02103,0.24644,0.94199,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
24,541.821,0.60897,0.32856,0.15117,0.30749,1.0688,0.99827,1,0.995,0.88304,0.99827,1,0.995,0.99022,0.55436,0.14908,0.02566,0.26033,0.91595,0.0053169,0.0017723,0.0053169,0.0017723,0.0053169,0.0017723,0.0053169,0.0017723
25,563.232,0.59675,0.32331,0.14518,0.30841,1.04836,1,0.99879,0.995,0.8978,1,0.99879,0.995,0.99152,0.54242,0.12768,0.02322,0.24326,0.95673,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
26,584.831,0.57332,0.29464,0.13292,0.29611,1.03859,0.99936,1,0.995,0.90612,0.99936,1,0.995,0.99136,0.49469,0.14684,0.02225,0.229,0.97141,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525
27,607.046,0.58687,0.29982,0.12356,0.29466,1.04411,0.99264,1,0.995,0.88771,0.99264,1,0.995,0.995,0.53746,0.16412,0.02118,0.23921,0.98877,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
28,628.546,0.59287,0.2999,0.13052,0.30518,1.04639,0.99732,1,0.995,0.89681,0.99732,1,0.995,0.99112,0.58032,0.13731,0.01525,0.25497,0.9958,0.0051981,0.0017327,0.0051981,0.0017327,0.0051981,0.0017327,0.0051981,0.0017327
29,650.101,0.59209,0.30578,0.12796,0.30017,1.06,0.98678,1,0.995,0.88431,0.98678,1,0.995,0.995,0.54694,0.14519,0.02345,0.28096,0.98158,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
30,672.041,0.58024,0.28031,0.12062,0.30009,1.04399,0.99541,1,0.995,0.88209,0.99541,1,0.995,0.995,0.54944,0.16223,0.01762,0.25208,0.97691,0.0051387,0.0017129,0.0051387,0.0017129,0.0051387,0.0017129,0.0051387,0.0017129
31,693.657,0.57531,0.28222,0.12035,0.29713,1.04282,0.99223,1,0.995,0.88533,0.99223,1,0.995,0.99197,0.57264,0.14159,0.01524,0.25748,1.01885,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
32,715.17,0.57025,0.29746,0.1104,0.28818,1.05,1,1,0.995,0.87109,1,1,0.995,0.98304,0.62254,0.13026,0.00906,0.25871,1.0417,0.0050793,0.0016931,0.0050793,0.0016931,0.0050793,0.0016931,0.0050793,0.0016931
33,737.242,0.58829,0.27926,0.10954,0.29581,1.07819,1,1,0.995,0.8726,1,1,0.995,0.995,0.57652,0.11441,0.01222,0.24768,1.01064,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
34,758.876,0.56519,0.26824,0.10607,0.29061,1.05429,0.9974,1,0.995,0.89652,0.9974,1,0.995,0.995,0.50831,0.1196,0.0122,0.22471,0.98999,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733
35,780.513,0.55406,0.25322,0.10104,0.29127,1.04148,0.99677,1,0.995,0.89068,0.99677,1,0.995,0.995,0.53538,0.1265,0.01153,0.24547,1.0071,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
36,802.542,0.5534,0.26208,0.1013,0.28799,1.04285,0.99622,1,0.995,0.88105,0.99622,1,0.995,0.995,0.5478,0.13681,0.0133,0.26991,1.00693,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535
37,824.009,0.55126,0.23656,0.0961,0.28592,1.0401,0.99641,1,0.995,0.88209,0.99641,1,0.995,0.995,0.56152,0.14213,0.01175,0.25225,1.02704,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
38,845.416,0.54378,0.24329,0.09521,0.2791,1.03682,0.9966,1,0.995,0.87768,0.9966,1,0.995,0.995,0.58605,0.11745,0.01072,0.26694,1.03846,0.0049011,0.0016337,0.0049011,0.0016337,0.0049011,0.0016337,0.0049011,0.0016337
39,867.316,0.55178,0.24446,0.09465,0.28331,1.04999,0.99729,1,0.995,0.85977,0.99729,1,0.995,0.995,0.59189,0.12529,0.0114,0.25173,1.0442,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
40,888.892,0.55811,0.24125,0.09589,0.28549,1.06353,0.99749,1,0.995,0.88131,0.99749,1,0.995,0.98304,0.52643,0.18029,0.01203,0.22643,0.9999,0.0048417,0.0016139,0.0048417,0.0016139,0.0048417,0.0016139,0.0048417,0.0016139
41,910.499,0.55197,0.23624,0.09224,0.28448,1.05042,0.99742,1,0.995,0.9091,0.99742,1,0.995,0.99226,0.48645,0.12765,0.01989,0.20901,0.96075,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
42,932.749,0.53989,0.20835,0.09056,0.28005,1.03893,0.99745,1,0.995,0.89032,0.99745,1,0.995,0.995,0.5543,0.1229,0.00847,0.24339,1.02886,0.0047823,0.0015941,0.0047823,0.0015941,0.0047823,0.0015941,0.0047823,0.0015941
43,954.274,0.5437,0.21227,0.08642,0.28348,1.02645,0.99697,1,0.995,0.87981,0.99697,1,0.995,0.995,0.59913,0.14512,0.0097,0.24589,0.99872,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
44,975.712,0.5336,0.21063,0.08792,0.27883,1.00924,0.9975,1,0.995,0.91268,0.9975,1,0.995,0.98234,0.52619,0.14681,0.01182,0.22923,0.96964,0.0047229,0.0015743,0.0047229,0.0015743,0.0047229,0.0015743,0.0047229,0.0015743
45,997.605,0.53273,0.21869,0.09067,0.28972,1.01122,0.9963,1,0.995,0.89591,0.9963,1,0.995,0.995,0.56918,0.12765,0.0102,0.26447,0.96881,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
46,1019.01,0.52405,0.19805,0.08595,0.27199,1.00413,0.99726,1,0.995,0.91266,0.99726,1,0.995,0.995,0.54468,0.13788,0.00842,0.22446,1.0249,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545
47,1040.73,0.50668,0.21081,0.08106,0.27439,1.01078,0.99746,1,0.995,0.86834,0.99746,1,0.995,0.98881,0.56303,0.12467,0.00852,0.24238,0.98691,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
48,1062.6,0.52004,0.21902,0.08313,0.28014,1.01694,0.97622,1,0.995,0.88633,0.97622,1,0.995,0.98865,0.56628,0.1263,0.01079,0.26673,1.00982,0.0046041,0.0015347,0.0046041,0.0015347,0.0046041,0.0015347,0.0046041,0.0015347
49,1084.06,0.5342,0.26995,0.0881,0.28192,1.02866,0.99244,1,0.995,0.90665,0.99244,1,0.995,0.995,0.53339,0.123,0.00785,0.24363,1.00411,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
50,1105.66,0.51331,0.23536,0.08557,0.26734,1.0103,0.97586,1,0.995,0.88645,0.97586,1,0.995,0.995,0.57792,0.11711,0.01399,0.25723,1.01936,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149
51,1127.56,0.51009,0.22208,0.08371,0.27067,1.01529,0.99556,1,0.995,0.85643,0.99556,1,0.995,0.995,0.61963,0.11417,0.00754,0.25094,1.02338,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
52,1149.1,0.50016,0.18665,0.08017,0.26201,1.00125,0.99309,1,0.995,0.88785,0.99309,1,0.995,0.995,0.54525,0.114,0.0062,0.2359,0.96256,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951
53,1170.55,0.50607,0.20988,0.0865,0.26249,0.99997,0.9968,1,0.995,0.89631,0.9968,1,0.995,0.995,0.53796,0.1219,0.00994,0.23896,0.95703,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
54,1192.45,0.50728,0.1947,0.07899,0.26475,0.99367,0.99744,1,0.995,0.90744,0.99744,1,0.995,0.995,0.5625,0.12064,0.0082,0.234,0.97346,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753
55,1214.07,0.48921,0.18387,0.07452,0.25942,0.99327,0.99732,1,0.995,0.86548,0.99732,1,0.995,0.995,0.59679,0.13659,0.00744,0.24847,1.10503,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
56,1235.6,0.49457,0.19822,0.07232,0.26156,1.01088,0.99453,1,0.995,0.85492,0.99453,1,0.995,0.98958,0.60967,0.11336,0.00942,0.2738,1.07737,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555
57,1257.38,0.49009,0.20034,0.07708,0.26173,1.01006,0.9943,1,0.995,0.87901,0.9943,1,0.995,0.995,0.60141,0.10438,0.00755,0.24381,1.04813,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
58,1279.07,0.49862,0.20791,0.07854,0.26501,1.01187,0.99556,1,0.995,0.89281,0.99556,1,0.995,0.99136,0.56344,0.11529,0.00714,0.25164,1.03601,0.0043071,0.0014357,0.0043071,0.0014357,0.0043071,0.0014357,0.0043071,0.0014357
59,1300.37,0.49465,0.17074,0.0762,0.25664,1.01073,0.99736,1,0.995,0.88108,0.99736,1,0.995,0.995,0.58043,0.14394,0.00753,0.23085,1.09951,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
60,1322.23,0.48824,0.19063,0.07033,0.25701,0.99489,0.99737,1,0.995,0.87482,0.99737,1,0.995,0.99275,0.61926,0.11862,0.01192,0.23648,1.04538,0.0042477,0.0014159,0.0042477,0.0014159,0.0042477,0.0014159,0.0042477,0.0014159
61,1343.73,0.4832,0.19883,0.06775,0.25189,0.99307,0.99734,1,0.995,0.866,0.99734,1,0.995,0.995,0.58841,0.10208,0.00673,0.23589,1.01143,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
62,1365.16,0.48671,0.17241,0.06697,0.26008,0.99621,0.99741,1,0.995,0.86875,0.99741,1,0.995,0.995,0.59533,0.10246,0.00535,0.2363,1.01369,0.0041883,0.0013961,0.0041883,0.0013961,0.0041883,0.0013961,0.0041883,0.0013961
63,1387.09,0.48058,0.16261,0.07672,0.26187,0.98248,0.997,1,0.995,0.89895,0.997,1,0.995,0.995,0.59038,0.09631,0.00752,0.23833,1.00975,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
64,1408.54,0.47661,0.16668,0.07231,0.2531,0.97443,0.99516,1,0.995,0.87187,0.99516,1,0.995,0.995,0.59173,0.09232,0.00782,0.2392,1.00903,0.0041289,0.0013763,0.0041289,0.0013763,0.0041289,0.0013763,0.0041289,0.0013763
65,1430.08,0.46652,0.16456,0.07043,0.24744,0.97861,0.99283,1,0.995,0.85924,0.99283,1,0.995,0.995,0.63428,0.09406,0.00551,0.26501,1.0834,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
66,1452.02,0.4684,0.16625,0.07622,0.25134,0.9788,0.99236,1,0.995,0.8696,0.99236,1,0.995,0.995,0.62381,0.08455,0.00778,0.2524,1.03343,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565
67,1473.5,0.46778,0.15245,0.06832,0.25577,0.97058,0.9958,1,0.995,0.87083,0.9958,1,0.995,0.9907,0.59223,0.11029,0.00617,0.24492,1.00713,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
68,1494.89,0.46558,0.15219,0.07114,0.25206,0.97381,0.98512,1,0.995,0.86523,0.98512,1,0.995,0.995,0.61192,0.09159,0.00494,0.24705,1.02639,0.0040101,0.0013367,0.0040101,0.0013367,0.0040101,0.0013367,0.0040101,0.0013367
69,1516.94,0.4478,0.15247,0.07042,0.24251,0.97223,0.99649,1,0.995,0.86802,0.99649,1,0.995,0.995,0.64214,0.08826,0.00653,0.24101,1.097,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
70,1538.43,0.46796,0.17233,0.06517,0.24988,0.98054,0.99742,1,0.995,0.86486,0.99742,1,0.995,0.995,0.64238,0.08611,0.0061,0.24126,1.09264,0.0039507,0.0013169,0.0039507,0.0013169,0.0039507,0.0013169,0.0039507,0.0013169
71,1560.09,0.45954,0.16478,0.06946,0.24879,0.97799,1,1,0.995,0.87133,1,1,0.995,0.995,0.6083,0.09457,0.00442,0.23348,1.04687,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
72,1582.14,0.44707,0.16134,0.06721,0.24649,0.97829,0.99758,1,0.995,0.87238,0.99758,1,0.995,0.995,0.56502,0.09128,0.00516,0.22339,1.01814,0.0038913,0.0012971,0.0038913,0.0012971,0.0038913,0.0012971,0.0038913,0.0012971
73,1603.63,0.43823,0.16226,0.06211,0.24467,0.97069,0.99746,1,0.995,0.89197,0.99746,1,0.995,0.995,0.55781,0.09182,0.00606,0.219,1.01851,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
74,1625.13,0.43245,0.14098,0.06337,0.23393,0.97478,0.9975,1,0.995,0.88472,0.9975,1,0.995,0.995,0.6097,0.08896,0.00638,0.25398,1.09868,0.0038319,0.0012773,0.0038319,0.0012773,0.0038319,0.0012773,0.0038319,0.0012773
75,1647.06,0.42924,0.17133,0.06693,0.23623,0.9777,0.99748,1,0.995,0.87982,0.99748,1,0.995,0.9919,0.59179,0.09196,0.00525,0.21564,1.09362,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
76,1668.75,0.43738,0.15717,0.07091,0.23777,0.9822,0.99748,1,0.995,0.87295,0.99748,1,0.995,0.995,0.60945,0.08703,0.00637,0.23436,1.07746,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575
77,1690.21,0.43145,0.15384,0.07011,0.2336,0.97524,0.99744,1,0.995,0.85188,0.99744,1,0.995,0.995,0.60516,0.08359,0.00503,0.22225,1.08614,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
78,1711.9,0.42878,0.13566,0.06455,0.23597,0.9682,0.98337,1,0.995,0.86297,0.98337,1,0.995,0.995,0.55868,0.08273,0.00746,0.24038,1.03106,0.0037131,0.0012377,0.0037131,0.0012377,0.0037131,0.0012377,0.0037131,0.0012377
79,1733.52,0.43213,0.14088,0.05655,0.23242,0.96941,0.91748,1,0.99318,0.89648,0.91748,1,0.99318,0.99318,0.54403,0.08783,0.006,0.27385,1.02326,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
80,1755,0.4232,0.13723,0.06225,0.23037,0.96606,0.9886,1,0.995,0.88567,0.9886,1,0.995,0.995,0.58224,0.07252,0.00519,0.23108,1.08209,0.0036537,0.0012179,0.0036537,0.0012179,0.0036537,0.0012179,0.0036537,0.0012179
81,1776.91,0.42037,0.12798,0.05856,0.2299,0.96694,0.9975,1,0.995,0.87693,0.9975,1,0.995,0.995,0.60077,0.07325,0.00561,0.23383,1.07203,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
82,1798.31,0.42862,0.12862,0.06257,0.23071,0.97021,0.95289,1,0.995,0.89089,0.95289,1,0.995,0.995,0.58525,0.07753,0.00474,0.22915,1.0612,0.0035943,0.0011981,0.0035943,0.0011981,0.0035943,0.0011981,0.0035943,0.0011981
83,1819.93,0.42513,0.1434,0.06038,0.23394,0.97403,0.99749,1,0.995,0.85022,0.99749,1,0.995,0.995,0.65953,0.08242,0.00535,0.25342,1.14862,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
84,1842.05,0.41814,0.12969,0.05976,0.23001,0.97212,0.99753,1,0.995,0.87089,0.99753,1,0.995,0.995,0.61783,0.07816,0.00526,0.23735,1.11112,0.0035349,0.0011783,0.0035349,0.0011783,0.0035349,0.0011783,0.0035349,0.0011783
85,1863.65,0.41293,0.13662,0.06279,0.22927,0.97274,0.99724,1,0.995,0.85416,0.99724,1,0.995,0.995,0.62245,0.0878,0.0043,0.23615,1.14842,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
86,1885.28,0.41214,0.13888,0.06188,0.23143,0.9735,0.99617,1,0.995,0.86194,0.99617,1,0.995,0.995,0.63509,0.07771,0.0032,0.24445,1.12579,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585
87,1907.18,0.40808,0.13045,0.05879,0.22578,0.97236,0.99322,1,0.995,0.88165,0.99322,1,0.995,0.995,0.59702,0.07611,0.00409,0.22455,1.11265,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
88,1928.83,0.39359,0.11917,0.05602,0.22293,0.9539,0.9975,1,0.995,0.8773,0.9975,1,0.995,0.995,0.60408,0.08185,0.00582,0.24174,1.06271,0.0034161,0.0011387,0.0034161,0.0011387,0.0034161,0.0011387,0.0034161,0.0011387
89,1950.48,0.38937,0.14602,0.05431,0.222,0.95028,1,1,0.995,0.88432,1,1,0.995,0.995,0.59644,0.06727,0.00505,0.23332,1.0665,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
90,1972.4,0.39255,0.13434,0.05916,0.22484,0.95016,1,1,0.995,0.89107,1,1,0.995,0.995,0.58933,0.06406,0.00529,0.21469,1.06261,0.0033567,0.0011189,0.0033567,0.0011189,0.0033567,0.0011189,0.0033567,0.0011189
91,1994.06,0.39175,0.13051,0.05903,0.22699,0.95654,1,1,0.995,0.8909,1,1,0.995,0.995,0.58494,0.07674,0.00476,0.21972,1.06618,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
92,2015.92,0.39364,0.12503,0.05956,0.22744,0.95923,0.99755,1,0.995,0.89132,0.99755,1,0.995,0.995,0.58863,0.08274,0.00434,0.2181,1.03702,0.0032973,0.0010991,0.0032973,0.0010991,0.0032973,0.0010991,0.0032973,0.0010991
93,2037.83,0.38323,0.11536,0.05837,0.21878,0.94043,0.99756,1,0.995,0.88129,0.99756,1,0.995,0.995,0.55972,0.08886,0.00682,0.24738,1.02745,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
94,2059.19,0.3868,0.11685,0.06147,0.22313,0.93954,0.99749,1,0.995,0.8974,0.99749,1,0.995,0.995,0.56755,0.09261,0.01246,0.22806,1.01746,0.0032379,0.0010793,0.0032379,0.0010793,0.0032379,0.0010793,0.0032379,0.0010793
95,2080.75,0.38889,0.11591,0.05582,0.22521,0.94232,0.99743,1,0.995,0.89198,0.99743,1,0.995,0.995,0.58903,0.0915,0.0075,0.23542,1.07661,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
96,2102.86,0.38393,0.11242,0.05291,0.21963,0.95354,0.99751,1,0.995,0.89275,0.99751,1,0.995,0.995,0.56522,0.08908,0.00477,0.20934,1.06737,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595
97,2124.47,0.38135,0.11603,0.05669,0.21542,0.94699,0.99768,1,0.995,0.89119,0.99768,1,0.995,0.99283,0.57264,0.08995,0.00519,0.21683,1.06187,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
98,2145.93,0.36463,0.11511,0.05895,0.20584,0.94048,1,1,0.995,0.87501,1,1,0.995,0.995,0.64514,0.0946,0.00453,0.24612,1.07156,0.0031191,0.0010397,0.0031191,0.0010397,0.0031191,0.0010397,0.0031191,0.0010397
99,2167.95,0.37792,0.10724,0.05865,0.21425,0.94576,0.99752,1,0.995,0.88544,0.99752,1,0.995,0.995,0.57195,0.09021,0.0032,0.21943,1.00677,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
100,2189.15,0.3657,0.10224,0.05781,0.21035,0.93186,0.99757,1,0.995,0.88883,0.99757,1,0.995,0.995,0.59298,0.08747,0.00432,0.21933,0.99652,0.0030597,0.0010199,0.0030597,0.0010199,0.0030597,0.0010199,0.0030597,0.0010199
101,2210.12,0.36813,0.10399,0.05151,0.21247,0.93041,0.99757,1,0.995,0.88928,0.99757,1,0.995,0.995,0.51934,0.08637,0.00688,0.21074,0.94576,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
