epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,35.8157,3.79223,0.66794,0.77945,12.2455,2.64163,0.56235,0.5,0.56601,0.20336,0.56235,0.5,0.58626,0.55962,2.38046,0.24979,0.26375,2.0911,1.86712,0.00194737,0.000649123,0.00194737,0.000649123,0.00194737,0.000649123,0.00194737,0.000649123
2,52.6548,2.11845,0.15616,0.22927,1.51485,1.50784,0.75826,0.75,0.81508,0.30568,0.8233,0.83333,0.90249,0.90249,1.89187,0.05742,0.03825,1.23318,1.47847,0.00390829,0.00130276,0.00390829,0.00130276,0.00390829,0.00130276,0.00390829,0.00130276
3,67.9725,1.97261,0.06515,0.1273,1.36081,1.38057,0.5485,0.83333,0.75047,0.38534,0.5485,0.83333,0.75047,0.75047,1.57654,0.02552,0.02669,1.40605,1.37256,0.00582961,0.0019432,0.00582961,0.0019432,0.00582961,0.0019432,0.00582961,0.0019432
4,82.2207,1.84309,0.04719,0.09451,1.29364,1.34158,0.93386,0.91667,0.98885,0.49691,0.93386,0.91667,0.98885,0.98885,1.52313,0.02261,0.01134,1.26233,1.303,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,96.9652,1.72973,0.04135,0.0749,1.10533,1.26454,0.96071,1,0.995,0.58128,0.96071,1,0.995,0.995,1.44401,0.02457,0.00386,0.97103,1.211,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,111.428,1.63971,0.02965,0.05468,1.02139,1.21366,0.97918,1,0.995,0.6784,0.97918,1,0.995,0.995,1.2548,0.0141,0.00181,0.85795,1.14135,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,126.305,1.59616,0.02617,0.05246,0.99344,1.21814,0.98834,1,0.995,0.48101,0.98834,1,0.995,0.995,1.62108,0.02307,0.00086,1.00769,1.27649,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,140.624,1.53055,0.02535,0.05849,0.92191,1.16624,0.9192,1,0.995,0.56472,0.9192,1,0.995,0.995,1.33709,0.0124,0.00157,0.85964,1.1187,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,155.225,1.48162,0.0241,0.04066,0.90496,1.15983,0.78274,0.91667,0.84752,0.34713,0.95538,1,0.995,0.995,1.81956,0.02011,0.00083,1.2189,1.33393,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,169.469,1.43431,0.02142,0.04733,0.86953,1.13291,0.94427,1,0.995,0.56022,0.94427,1,0.995,0.995,1.28226,0.00993,0.00118,0.8399,1.141,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
