epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,40.2295,3.52907,0.87481,0.67822,19.6808,2.39984,0.97979,0.9,0.96643,0.34439,0.97979,0.9,0.96643,0.95474,1.70974,0.15762,0.29669,1.46036,1.40637,0.00195556,0.000651852,0.00195556,0.000651852,0.00195556,0.000651852,0.00195556,0.000651852
2,59.5883,1.68155,0.21371,0.23028,1.18117,1.11765,0.83114,0.98552,0.97833,0.62241,0.83114,0.98552,0.97833,0.97833,1.0626,0.02773,0.02947,0.99138,1.06182,0.0039164,0.00130547,0.0039164,0.00130547,0.0039164,0.00130547,0.0039164,0.00130547
3,77.3413,1.50139,0.09635,0.09659,1.02567,1.02844,0.94158,1,0.995,0.52139,0.94158,1,0.995,0.995,1.33952,0.0102,0.01278,0.93241,1.13935,0.00583764,0.00194588,0.00583764,0.00194588,0.00583764,0.00194588,0.00583764,0.00194588
4,94.5775,1.43393,0.06327,0.07128,0.89748,1.01568,0.97126,1,0.995,0.68977,0.97126,1,0.995,0.995,1.00254,0.01094,0.00469,1.31736,1.04885,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,111.753,1.30985,0.04659,0.04295,0.76499,0.9858,0.97651,1,0.995,0.68633,0.97651,1,0.995,0.995,0.88934,0.00507,0.00206,0.79419,0.97785,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,128.604,1.242,0.03444,0.03669,0.67982,0.97899,0.96446,1,0.995,0.65971,0.96446,1,0.995,0.995,1.05333,0.0064,0.00137,0.8492,1.04821,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,145.478,1.19961,0.03689,0.03519,0.63092,0.93154,0.99393,1,0.995,0.7202,0.99393,1,0.995,0.995,0.91227,0.00353,0.00047,0.53246,0.97543,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,162.901,1.16828,0.02573,0.02968,0.58437,0.93602,0.98917,1,0.995,0.77451,0.98917,1,0.995,0.995,0.85557,0.00223,0.00049,0.45449,0.95113,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,179.881,1.12641,0.02094,0.02894,0.56736,0.92929,0.9934,1,0.995,0.74992,0.9934,1,0.995,0.995,0.90046,0.00306,0.00045,0.47916,0.98839,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,196.635,1.12247,0.02064,0.02273,0.54669,0.92421,0.99104,1,0.995,0.74772,0.99104,1,0.995,0.995,0.86523,0.00544,0.00023,0.46007,0.96733,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,213.339,1.10336,0.01888,0.02306,0.52022,0.91493,0.99376,1,0.995,0.78782,0.99376,1,0.995,0.995,0.89213,0.00145,0.00029,0.43251,0.96243,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,230.607,1.08477,0.01537,0.02056,0.51959,0.92475,0.99415,1,0.995,0.73929,0.99415,1,0.995,0.995,0.89517,0.00178,0.00051,0.41607,0.97287,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,247.277,1.04007,0.01743,0.0212,0.50793,0.90967,0.99381,1,0.995,0.77883,0.99381,1,0.995,0.995,0.88863,0.00239,0.00138,0.38027,0.96953,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
